,RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,county
0,3101,0,Los Angeles County,County,CA,CA,Los Angeles-Long Beach-Anaheim,Los Angeles
1,139,1,Cook County,County,IL,IL,Chicago-Naperville-Elgin,Cook
2,1090,2,Harris County,County,TX,TX,Houston-The Woodlands-Sugar Land,Harris
3,2402,3,Maricopa County,County,AZ,AZ,Phoenix-Mesa-Scottsdale,Maricopa
4,2841,4,San Diego County,County,CA,CA,San Diego-Carlsbad,San Diego
5,1286,5,Orange County,County,CA,CA,Los Angeles-Long Beach-Anaheim,Orange
6,581,6,Kings County,County,NY,NY,New York-Newark-Jersey City,Kings
7,2964,7,Miami-Dade County,County,FL,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade
8,978,8,Dallas County,County,TX,TX,Dallas-Fort Worth-Arlington,Dallas
9,1347,9,Queens County,County,NY,NY,New York-Newark-Jersey City,Queens
10,2832,10,Riverside County,County,CA,CA,Riverside-San Bernardino-Ontario,Riverside
11,3250,11,San Bernardino County,County,CA,CA,Riverside-San Bernardino-Ontario,San Bernardino
12,445,12,Clark County,County,NV,NV,Las Vegas-Henderson-Paradise,Clark
13,207,13,King County,County,WA,WA,Seattle-Tacoma-Bellevue,King
14,791,14,Wayne County,County,MI,MI,Detroit-Warren-Dearborn,Wayne
15,2049,15,Tarrant County,County,TX,TX,Dallas-Fort Worth-Arlington,Tarrant
16,3136,16,Santa Clara County,County,CA,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara
17,1561,17,Broward County,County,FL,FL,Miami-Fort Lauderdale-West Palm Beach,Broward
18,386,18,Bexar County,County,TX,TX,San Antonio-New Braunfels,Bexar
19,2452,19,New York County,County,NY,NY,New York-Newark-Jersey City,New York
20,3175,20,Philadelphia County,County,PA,PA,Philadelphia-Camden-Wilmington,Philadelphia
21,1510,21,Alameda County,County,CA,CA,San Francisco-Oakland-Hayward,Alameda
22,2801,22,Middlesex County,County,MA,MA,Boston-Cambridge-Newton,Middlesex
23,2046,23,Suffolk County,County,NY,NY,New York-Newark-Jersey City,Suffolk
24,3017,24,Sacramento County,County,CA,CA,Sacramento--Roseville--Arden-Arcade,Sacramento
25,401,25,Bronx County,County,NY,NY,New York-Newark-Jersey City,Bronx
26,1252,26,Nassau County,County,NY,NY,New York-Newark-Jersey City,Nassau
27,2993,27,Palm Beach County,County,FL,FL,Miami-Fort Lauderdale-West Palm Beach,Palm Beach
28,2241,28,Cuyahoga County,County,OH,OH,Cleveland-Elyria,Cuyahoga
29,3165,29,Hillsborough County,County,FL,FL,Tampa-St. Petersburg-Clearwater,Hillsborough
30,2614,30,Allegheny County,County,PA,PA,Pittsburgh,Allegheny
31,1950,31,Oakland County,County,MI,MI,Detroit-Warren-Dearborn,Oakland
32,2288,32,Franklin County,County,OH,OH,Columbus,Franklin
