,CountyName,State,RegionName,RegionCount
0,Abbeville County,SC,[29620 29638 29628 29639],4
1,Acadia Parish,LA,[70526 70578 70525 70543 70559 70516 70531 70534 70556 70537],10
2,Accomack County,VA,"[23336 23417 23421 23410 23356 23420 23415 23301 23308 23418 23306 23395
 23442 23303 23416 23357 23359 23480 23337 23422 23423 23414 23389 23426
 23302 23404 23409 23358]",28
3,Ada County,ID,"[83646 83709 83642 83704 83706 83705 83616 83702 83714 83713 83634 83716
 83703 83669 83712]",15
4,Adair County,IA,[50849 50002 50846 50858 50837],5
5,Adair County,KY,[42728 42753 42715 42741 42742],5
6,Adair County,MO,[63501 63559 63544 63533 63540],5
7,Adair County,OK,[74960 74965 74931],3
8,Adams County,CO,"[80229 80233 80022 80021 80221 80031 80601 80602 80260 80241 80234 80030
 80640 80102 80136 80024]",16
9,Adams County,IA,[50841 50859 50857],3
10,Adams County,ID,[83612 83654 83632 83643],4
11,Adams County,IL,"[62301 62305 62347 62320 62351 62360 62338 62324 62376 62339 62349 62365
 62325 62359]",14
12,Adams County,IN,[46733 46711 46740 46772],4
13,Adams County,MS,[39120 39165],2
14,Adams County,ND,[58639],1
15,Adams County,NE,[68901 68955 68956 68925 68973 68950 68954],7
16,Adams County,OH,[45693 45660 45697 45144 45679 45684 45616 45650 45105 45618],10
17,Adams County,PA,"[17325 17350 17340 17316 17320 17307 17372 17344 17353 17304 17303 17306
 17310 17343]",14
18,Adams County,WA,[99344 99169 99341 99371 99105],5
19,Adams County,WI,[53965 54457 53934 53910 53952 54613 53936],7
20,Addison County,VT,"[5753 5443 5491 5472 5473 5487 5734 5456 5770 5769 5760 5740 5778 5766
 5748 5747 5469]",17
21,Aiken County,SC,"[29803 29841 29801 29860 29829 29851 29842 29805 29164 29831 29129 29856
 29809 29137 29105 29828 29166]",17
22,Aitkin County,MN,[56431 55760 55748 56469 55787 56350 55785],7
23,Alachua County,FL,"[32608 32607 32605 32606 32601 32609 32669 32615 32653 32641 32643 32618
 32603 32667 32694 32664 32631]",17
24,Alamance County,NC,[27215 27217 27302 27253 27244 27258 27349 27340 27202],9
25,Alameda County,CA,"[94501 94536 94544 94568 94541 94538 94587 94611 94550 94577 94546 94539
 94566 94605 94601 94610 94606 94608 94560 94551 94578 94588 94602 94607
 94555 94609 94545 94603 94619 94612 94621 94580 94704 94703 94706 94702
 94618 94579 94705 94709 94707 94502 94542 94552 94708 94710 94586]",47
26,Alamosa County,CO,[81101 81146 81136],3
27,Albany County,NY,"[12203 12205 12047 12208 12189 12110 12054 12206 12210 12211 12202 12209
 12159 12204 12009 12077 12186 12158 12084 12143 12207 12183 12193 12023
 12059 12067 12469 12147 12046 12045 12120 12085 12041 12007 12161]",35
28,Albany County,WY,[82070 82072 82055 82329 82083 82063 82084 82052 82051 82058],10
29,Albemarle County,VA,"[22903 22901 22902 22911 22932 24590 22936 22947 22959 22969 22937 22940
 22935 22943 22931 22946]",16
30,Alcona County,MI,[48740 49747 48742 48762 48738 48737 48745 48705 48721 48728],10
31,Alcorn County,MS,[38834 38865 38846],3
32,Alexander County,NC,[28681 28636],2
33,Alexandria City,VA,[22304 22314 22315 22311 22302 22305 22301],7
34,Alfalfa County,OK,[73728 73741 73726 73749 73716 73722 73739 73719],8
35,Alger County,MI,[49862 49816 49806 49891 49839 49884 49825 49822],8
36,Allamakee County,IA,[52172 52162 52151 52146 52160 52140 52170],7
37,Allegan County,MI,"[49010 49080 49348 49408 49078 49323 49419 49453 49328 49344 49450 49070
 49406 49335 49314 49311]",16
38,Allegany County,MD,"[21502 21532 21562 21539 21557 21545 21555 21530 21521 21529 21766 21524
 21540 21528 21542]",15
39,Allegany County,NY,"[14895 14727 14739 14715 14813 14735 14806 14711 14880 14709 14804 14802
 14803 14822 14744 14717 14897 14777 14754 14060 14714 14884 14721 14774
 14707 14708 14745]",27
40,Alleghany County,NC,[28675 28623 28627 28663 28668],5
41,Alleghany County,VA,[24426 24422 24448 24474 24457 24131],6
42,Allegheny County,PA,"[15237 15108 15235 15221 15206 15212 15236 15146 15227 15102 15217 15213
 15205 15216 15044 15210 15101 15202 15136 15090 15106 15122 15143 15132
 15120 15239 15220 15241 15147 15228 15017 15025 15201 15218 15232 15234
 15229 15214 15226 15203 15238 15116 15211 15219 15243 15215 15209 15224
 15065 15207 15071 15137 15208 15129 15037 15084 15131 15104 15024 15145
 15223 15204 15139 15222 15126 15133 15110 15135 15045 15144 15233 15112
 15140 15014 15148 15046 15035 15142 15034 15225 15056 15015 15030 15049
 15076 15018 15031 15088 15051 15086 15064 15007 15047 15006 15020 15028
 15075]",97
43,Allen County,IN,"[46835 46825 46804 46815 46845 46805 46806 46808 46818 46816 46774 46807
 46814 46802 46809 46803 46819 46748 46765 46797 46773 46741 46788 46743
 46745 46704]",26
44,Allen County,KS,[66749 66748 66755 66751 66742 66772 66732],7
45,Allen County,KY,[42164 42120 42153],3
46,Allen County,OH,"[45805 45801 45804 45807 45806 45833 45817 45887 45850 45820 45854 45808
 45809]",13
47,Allen Parish,LA,[71463 70648 70655 70658 70638 70637],6
48,Allendale County,SC,[29810 29827 29836 29849],4
49,Alpena County,MI,[49707 49766 49753 49744],4
50,Alpine County,CA,[96120 95646],2
51,Amador County,CA,[95640 95642 95666 95685 95665 95669 95689 95629 95656 95675 95601 95699],12
52,Amelia County,VA,[23002 23083],2
53,Amherst County,VA,[24572 24521 24574],3
54,Amite County,MS,[39645 39638],2
55,Anchorage Borough,AK,"[99504 99507 99508 99577 99502 99501 99515 99516 99517 99503 99518 99567
 99587 99540]",14
56,Anderson County,KS,[66032 66015 66033 66039 66093 66091],6
57,Anderson County,KY,[40342],1
58,Anderson County,SC,[29621 29625 29627 29624 29626 29697 29669 29654 29670 29655 29689 29684],12
59,Anderson County,TN,[37830 37716 37769 37705 37754 37828 37710],7
60,Anderson County,TX,[75801 75803 75839 75861 75853],5
61,Andrew County,MO,[64485 64421 64436 64483 64427 64459 64449 64480],8
62,Andrews County,TX,[79714],1
63,Androscoggin County,ME,[4240 4210 4280 4274 4282 4252 4250 4236 4222 4254 4256 4258 4253 4263],14
64,Angelina County,TX,[75904 75901 75949 75941 75969 75980],6
65,Anne Arundel County,MD,"[21122 21061 21401 21060 21113 21403 21144 21225 21146 21114 21076 21037
 21012 21409 21108 21054 21090 21032 20755 21035 20711 20764 21140 20776
 20733 20751 20778 20779 21402 20758 20765 21056 21077 21106 21405]",35
66,Anoka County,MN,[55303 55304 55433 55432 55421 55434 55449 55448 55014 55011 55070 55005],12
67,Anson County,NC,[28170 28135 28133 28119 28091 28007],6
68,Antelope County,NE,[68756 68636 68764 68726 68761 68720 68773],7
69,Antrim County,MI,[49659 49615 49622 49648 49629 49730 49729 49612 49611],9
70,Apache County,AZ,[85925 85936 85924 85938 86511 86512 85940 85920 85932 85927],10
71,Appanoose County,IA,[52544 52571 52572 52574 52549 52594 52555 52581 52593],9
72,Appling County,GA,[31513 31563 31518],3
73,Appomattox County,VA,[24522 24593 24553 23963],4
