geo_id,geoidsl,geoidsc,nonfamily_households,family_households,median_year_structure_built,rent_burden_not_computed,rent_over_50_percent,rent_40_to_50_percent,rent_35_to_40_percent,rent_30_to_35_percent,rent_25_to_30_percent,rent_20_to_25_percent,rent_15_to_20_percent,rent_10_to_15_percent,rent_under_10_percent,total_pop,male_pop,female_pop,median_age,white_pop,black_pop,asian_pop,hispanic_pop,amerindian_pop,other_race_pop,two_or_more_races_pop,not_hispanic_pop,commuters_by_public_transportation,households,median_income,income_per_capita,housing_units,vacant_housing_units,vacant_housing_units_for_rent,vacant_housing_units_for_sale,median_rent,percent_income_spent_on_rent,owner_occupied_housing_units,million_dollar_housing_units,mortgaged_housing_units,families_with_young_children,two_parent_families_with_young_children,two_parents_in_labor_force_families_with_young_children,two_parents_father_in_labor_force_families_with_young_children,two_parents_mother_in_labor_force_families_with_young_children,two_parents_not_in_labor_force_families_with_young_children,one_parent_families_with_young_children,father_one_parent_families_with_young_children,father_in_labor_force_one_parent_families_with_young_children,commute_10_14_mins,commute_15_19_mins,commute_20_24_mins,commute_25_29_mins,commute_30_34_mins,commute_45_59_mins,aggregate_travel_time_to_work,income_less_10000,income_10000_14999,income_15000_19999,income_20000_24999,income_25000_29999,income_30000_34999,income_35000_39999,income_40000_44999,income_45000_49999,income_50000_59999,income_60000_74999,income_75000_99999,income_100000_124999,income_125000_149999,income_150000_199999,income_200000_or_more,renter_occupied_housing_units_paying_cash_median_gross_rent,owner_occupied_housing_units_lower_value_quartile,owner_occupied_housing_units_median_value,owner_occupied_housing_units_upper_value_quartile,married_households,occupied_housing_units,housing_units_renter_occupied,dwellings_1_units_detached,dwellings_1_units_attached,dwellings_2_units,dwellings_3_to_4_units,dwellings_5_to_9_units,dwellings_10_to_19_units,dwellings_20_to_49_units,dwellings_50_or_more_units,mobile_homes,housing_built_2005_or_later,housing_built_2000_to_2004,housing_built_1939_or_earlier,male_under_5,male_5_to_9,male_10_to_14,male_15_to_17,male_18_to_19,male_20,male_21,male_22_to_24,male_25_to_29,male_30_to_34,male_35_to_39,male_40_to_44,male_45_to_49,male_50_to_54,male_55_to_59,male_60_61,male_62_64,male_65_to_66,male_67_to_69,male_70_to_74,male_75_to_79,male_80_to_84,male_85_and_over,female_under_5,female_5_to_9,female_10_to_14,female_15_to_17,female_18_to_19,female_20,female_21,female_22_to_24,female_25_to_29,female_30_to_34,female_35_to_39,female_40_to_44,female_45_to_49,female_50_to_54,female_55_to_59,female_60_to_61,female_62_to_64,female_65_to_66,female_67_to_69,female_70_to_74,female_75_to_79,female_80_to_84,female_85_and_over,white_including_hispanic,black_including_hispanic,amerindian_including_hispanic,asian_including_hispanic,commute_5_9_mins,commute_35_39_mins,commute_40_44_mins,commute_60_89_mins,commute_90_more_mins,households_retirement_income,asian_male_45_54,asian_male_55_64,black_male_45_54,black_male_55_64,hispanic_male_45_54,hispanic_male_55_64,white_male_45_54,white_male_55_64,bachelors_degree_2,bachelors_degree_or_higher_25_64,children,children_in_single_female_hh,commuters_by_bus,commuters_by_car_truck_van,commuters_by_carpool,commuters_by_subway_or_elevated,commuters_drove_alone,different_house_year_ago_different_city,different_house_year_ago_same_city,employed_agriculture_forestry_fishing_hunting_mining,employed_arts_entertainment_recreation_accommodation_food,employed_construction,employed_education_health_social,employed_finance_insurance_real_estate,employed_information,employed_manufacturing,employed_other_services_not_public_admin,employed_public_administration,employed_retail_trade,employed_science_management_admin_waste,employed_transportation_warehousing_utilities,employed_wholesale_trade,female_female_households,four_more_cars,gini_index,graduate_professional_degree,group_quarters,high_school_including_ged,households_public_asst_or_food_stamps,in_grades_1_to_4,in_grades_5_to_8,in_grades_9_to_12,in_school,in_undergrad_college,less_than_high_school_graduate,male_45_64_associates_degree,male_45_64_bachelors_degree,male_45_64_graduate_degree,male_45_64_less_than_9_grade,male_45_64_grade_9_12,male_45_64_high_school,male_45_64_some_college,male_45_to_64,male_male_households,management_business_sci_arts_employed,no_car,no_cars,not_us_citizen_pop,occupation_management_arts,occupation_natural_resources_construction_maintenance,occupation_production_transportation_material,occupation_sales_office,occupation_services,one_car,two_cars,three_cars,pop_25_64,pop_determined_poverty_status,population_1_year_and_over,population_3_years_over,poverty,sales_office_employed,some_college_and_associates_degree,walked_to_work,worked_at_home,workers_16_and_over,associates_degree,bachelors_degree,high_school_diploma,less_one_year_college,masters_degree,one_year_more_college,pop_25_years_over,commute_35_44_mins,commute_60_more_mins,commute_less_10_mins,commuters_16_over,hispanic_any_race,pop_5_years_over,speak_only_english_at_home,speak_spanish_at_home,speak_spanish_at_home_low_english,pop_15_and_over,pop_never_married,pop_now_married,pop_separated,pop_widowed,pop_divorced,do_date
54107,54107,54107,12509,22929,1966,883,2055,909,594,773,540,535,406,1169,913,86990,42096,44894,41.7,,,,,,,,,,35438,39689,23165,40218,4780,733,865,428,32.5,26661,295,14128,5606,3725,1489,1873,80,283,1881,123,77,7896,7762,4973,2220,3744,677,647870,2591,3465,2278,2857,1701,2307,2659,1589,2028,2600,3398,3853,1943,689,772,708,580,70300,100700,164000,18815,35438,8777,31047,467,1064,1069,1268,647,143,517,3996,1246,2195,6694,2459,2608,2983,1688,1033,461,164,1607,2280,2640,2951,2566,3316,3312,3396,1241,1074,1273,1401,1220,961,803,659,2460,3071,2039,1642,963,778,283,1158,2689,2548,2621,3025,3385,3430,3382,1262,1736,1180,1096,2039,1713,886,1508,83733,1116,37,491,4585,142,109,947,455,8896,,,,,,,6323,5658,,8647,18950,3306,,,,,,6866,1591,402,3599,2676,8977,1801,480,4108,1472,1928,5083,3009,2253,746,47,1734,0.462,,,,5234,4524,4152,3951,20764,5180,,1148,1359,949,402,435,4270,3776,12339,34,11758,750,2506,61,11758,4019,5211,9052,6494,12644,14378,4176,46854,85449,85874,83857,12414,9052,,,,,5470,6528,17668,4923,2554,12357,61593,,,,,,,,,,71370,15955,38839,673,5845,9858,2010
48485,48485,48485,18468,29139,1970,853,4121,2269,1047,1283,2309,1969,1818,1678,337,131685,67697,63988,34.4,,,,,,,,,,47607,38689,20010,55578,7971,2695,1537,529,31.2,29923,13,17414,10078,7203,4477,2505,137,84,2875,216,173,16150,12808,6617,957,2047,978,815540,3894,5141,2819,3103,3266,2983,3707,2395,2416,4456,4333,3945,2510,1375,524,740,678,56600,86900,126500,20799,47607,17684,38631,2219,2282,2086,2395,3082,1150,1858,1831,2947,1900,6240,4432,4357,4622,2605,2365,1807,1258,4715,5564,4391,4689,3468,5447,4151,3530,1703,1165,979,1018,1906,1797,1050,678,4038,3756,4425,2016,1993,1559,1087,3764,4546,3945,3935,2908,4122,4668,3635,837,2459,990,1667,2118,2251,1630,1639,108844,14353,1013,3014,12760,140,187,769,414,8783,,,1339,71,1315,638,6574,5433,10309,12204,30251,10801,,,,,,17388,11469,1514,4349,3185,12558,3184,1530,4749,3946,4902,8353,3585,1835,1243,75,2399,0.447,4850,12350,28536,6294,6903,6926,6577,34377,7083,14955,1388,1628,951,752,1796,6300,3181,15996,88,15144,450,2727,7264,15144,4707,8392,15565,11125,19507,16804,6170,65163,120659,130541,127956,20067,15565,24236,,,,4603,10309,21333,5765,3389,13868,82886,,,,,,,,,,106055,35458,46577,3512,6632,12611,2010
27141,27141,27141,7688,22289,1991,57,1188,560,151,413,641,555,375,640,273,88691,46186,42505,33.6,,,,,,,,,,29977,69971,26916,32393,2416,,,759,29.3,,,20548,7826,6567,5033,1469,65,0,1259,446,343,4049,5247,4295,1796,4653,6077,1237095,642,567,926,1643,704,1135,1512,1327,866,3251,4524,5968,3315,1546,1274,777,846,156000,192200,262500,18850,29977,4853,26300,2115,0,209,658,648,885,851,727,2418,6632,2185,3589,3432,4272,2252,1473,557,291,2064,3173,3666,3387,3484,3906,3048,2302,959,981,434,926,764,337,618,271,2963,4648,2856,1935,912,285,347,1736,2606,2930,3040,3815,3408,2950,2122,916,1015,605,664,909,749,538,556,83374,2164,597,1372,3302,1537,2560,4522,982,4629,,,,,,,6621,4177,,12247,25947,2591,,,,,,11582,1822,473,2600,3384,9724,1619,422,7860,2383,1739,5838,3292,2671,1189,59,3942,0.361,,4393,,952,6320,5170,5809,25304,4228,,1534,1800,689,0,579,3374,3220,11196,0,14132,363,684,1623,14132,5263,5932,11311,6556,5091,13814,6446,47708,84680,87249,84546,7308,11311,,,,,7306,9447,11063,4491,3704,12226,55079,,,,,,,,,,66931,18872,38814,964,2046,6137,2010
05085,05085,05085,5809,18893,1992,301,1285,454,341,486,845,450,694,784,0,68634,34253,34381,34.8,,,,,,,,,,24702,49367,21790,27312,2610,,,504,29.4,19062,60,12524,6112,4041,3325,563,46,107,2071,455,455,3377,4027,4393,3959,4422,2121,774960,2007,1097,1077,1756,841,1112,1674,1553,1350,2174,3071,3270,2004,1126,419,171,673,79900,113700,160300,13982,24702,5640,19652,169,677,788,240,233,279,0,5274,3916,5064,786,2521,2960,2302,1447,1204,432,1246,1234,2519,2162,1834,2827,2361,2427,1797,867,592,683,441,1249,476,460,212,2280,2852,2578,1397,554,344,211,1521,2323,2490,2372,2736,2393,2303,2322,575,662,468,943,1219,629,845,364,61028,4491,179,333,2551,1882,1476,592,653,4801,,,248,43,,,4405,3213,,6113,18337,5343,,,,,,8023,3417,784,1616,3093,5924,1455,491,2573,1753,3166,4306,2466,2147,1332,0,1399,0.384,,,,2312,4620,3551,3102,17496,3292,,402,1103,639,111,492,3450,1847,8044,0,9681,2773,1386,2199,9681,5387,3229,8803,4006,7869,10612,3436,35562,67966,67397,65348,8696,8803,,,,,4234,4562,13529,3113,2034,6609,43551,,,,,,,,,,53141,12291,29963,1759,3049,6079,2010
09015,09015,09015,14108,30648,1970,1080,3180,1355,253,1190,1671,1303,1768,722,271,118519,58036,60483,39.3,,,,,,,,,,44756,60026,28424,49081,4325,,,709,30.5,31963,454,23693,7021,4736,3867,840,29,0,2285,466,466,8118,7267,6796,2786,7231,5210,1483510,2709,2642,2031,1983,1983,1323,2299,2005,1891,3503,5544,6480,4704,2127,2215,1317,872,175900,227800,296900,23768,44756,12793,33585,2714,2384,4284,2967,1023,276,489,1359,2779,2677,13108,2710,3109,4507,2723,2158,819,1524,2131,3313,3154,4204,4244,4840,4896,4228,1381,1507,888,1306,1511,1094,916,873,3515,3666,3998,2201,2445,822,1086,1702,3533,3701,3412,4595,5159,4637,4376,1435,1608,1151,1402,1815,1231,858,2135,109773,2132,433,1275,6271,2141,2461,3592,1370,7915,,,,,524,297,8670,6742,10729,15772,26429,5816,,,,,,12650,1229,994,5194,4163,17036,2178,622,6704,2546,2529,7230,4127,2755,1651,51,3460,0.434,7827,3464,30543,6151,5772,7140,6985,31926,8340,10242,2100,2378,1424,668,1417,6495,2370,16852,53,18829,1423,3287,1947,18829,6155,8426,13372,10947,13077,17046,7886,64223,114961,117532,114933,14176,13372,20062,,,,5534,10729,25880,5107,5593,9421,79403,,,,,,,,,,97014,30066,49718,1343,4992,10184,2010
40145,40145,40145,5613,20677,1987,629,1150,353,537,334,286,600,212,483,87,73349,35268,38081,38.3,,,,,,,,,,26290,57884,24366,29786,3496,569,448,457,35.2,21619,95,14679,5891,4598,2077,2144,249,128,1293,510,407,3143,5199,6758,3807,6266,1134,719100,1221,980,1460,1482,1318,1549,1323,1155,1069,2184,3530,3959,2416,1426,971,247,695,89800,136300,181300,16527,26290,4671,23124,549,164,460,361,200,534,82,4312,4591,4175,449,2314,2811,2936,1306,365,469,587,1315,2018,2388,2164,2916,2357,2559,1790,1468,1276,483,875,1474,766,434,197,2666,3247,2420,1829,1373,432,432,888,2152,2255,2323,3271,2476,2633,2115,1168,1336,1154,897,1109,408,647,850,56666,2492,6330,252,3325,728,787,641,143,4098,,,,,,,4116,3807,,9121,19529,3063,,,,,,8716,1311,594,3153,2833,7659,2560,955,4196,1631,1459,4358,3010,1984,1054,0,2434,0.395,,,,2691,4698,4676,3687,19840,3672,,1054,906,589,217,651,3193,2840,9450,0,10315,230,859,1364,10315,3668,4410,10008,7045,5221,11660,6116,38665,72907,71978,70161,8898,10008,,,,,3986,8299,12541,5651,1681,7777,47959,,,,,,,,,,56955,11698,34088,1088,3412,5912,2010
55055,55055,55055,10179,21716,1971,577,2026,882,503,972,1392,1001,990,692,127,83693,41670,42023,38.6,,,,,,,,,,31895,49611,23564,35166,3271,633,580,598,30.5,22733,36,16122,5540,3802,2692,1060,50,0,1738,182,182,5455,4700,4964,2747,4305,3248,916400,1530,2151,1797,1949,1857,2069,1753,1467,1469,3359,3768,3769,2643,792,867,655,690,141400,185000,248100,16928,31895,9162,23112,2921,1856,1759,1468,897,906,361,1886,2131,3537,9533,2347,2553,3555,1856,1802,677,674,1398,2183,2492,2124,3275,3650,3123,3095,895,1132,499,897,1466,786,577,614,2439,2358,2814,1873,1473,805,616,1507,2334,2599,2703,2909,3141,3168,2611,1031,1446,465,1299,1440,1269,798,925,79856,620,85,835,7177,1593,1462,1636,604,5294,,,,,,,6075,4987,9719,11959,19795,4636,,,,,,5765,2925,1136,3813,2468,8989,1783,339,8194,1585,2032,5133,3417,2062,1729,245,2748,0.405,4326,2061,19955,3624,4295,5151,4810,23575,6158,4256,1219,1869,641,204,664,4672,2626,11895,103,12591,225,1383,2447,12591,3713,8296,10453,7627,10595,12399,4770,43911,81099,82921,81223,9714,10453,16690,,,,5046,9719,16981,4616,3607,7028,54946,,,,,,,,,,67627,19687,35273,880,3680,7451,2010
23003,23003,23003,12178,18010,1969,821,1414,476,331,654,970,1136,935,1037,666,71720,35144,36576,45.1,,,,,,,,,,30188,36403,21490,39538,9350,1068,1011,433,25.2,21748,11,11841,4109,2770,2124,569,50,27,1339,376,376,5692,3824,3741,1225,2693,660,513755,2815,3001,2232,2718,1956,1790,1830,1545,1527,2243,2982,2699,1405,488,458,499,510,59300,95000,160500,14971,30188,8440,29243,123,2386,1679,1006,573,510,346,3645,1459,2227,9784,1782,1373,2719,1565,1015,176,632,1060,1682,1671,2291,2054,2891,2900,2747,956,1672,649,1112,1647,1326,930,294,1622,1910,2105,1313,883,555,519,953,1698,1903,2106,2116,2830,2953,2744,1105,1664,617,1624,1512,1562,1440,842,68409,409,1109,38,5485,514,499,761,449,6164,,,,,,,5605,5375,,7406,14389,3327,,,,,,,,1467,2255,991,9950,1098,606,3608,1218,1873,4520,1910,1202,901,0,1016,0.446,,1598,,7019,2339,4282,3845,16844,3805,,730,1490,724,571,688,4548,2415,11166,16,9633,639,2304,1413,9633,3277,5249,6929,6511,11179,12067,3622,37983,70149,,69702,9028,6929,,,,,4583,6356,17301,3592,1731,6873,51538,,,,,,,,,,60209,14594,31537,755,4265,8113,2010
13063,13063,13063,33356,51027,1986,2625,10988,3979,2583,2460,4798,3111,3517,1010,418,259623,124794,134829,31.6,,,,,,,,,,84383,35672,16768,104695,20312,8178,2439,659,37.2,48894,81,39657,25499,12397,6241,4957,1113,86,13102,2932,2465,10522,12708,18230,6646,19539,10305,2946505,7759,5958,6741,7370,6359,7161,4823,4867,4344,7322,7523,6745,3952,2203,646,610,831,80900,109400,147500,27457,84383,35489,65646,4607,1079,4455,13117,7088,2625,2275,3803,8072,16695,730,11332,9722,11055,6495,4581,1862,602,7003,9495,9417,8505,9213,9033,8203,5825,1844,3351,1157,2275,1327,1123,670,704,10696,10656,9162,5785,3512,2054,3306,5203,10350,10494,9865,10569,10441,9595,8115,2024,2961,2056,2063,1885,1413,1450,1174,51358,170321,400,13039,6387,3409,6337,5741,2281,12151,1557,687,10919,6100,1612,821,3092,3289,18798,24035,74903,35240,2746,94438,14150,498,80288,44114,4052,612,11604,8510,17725,5925,2489,7899,5462,6103,13593,12046,13501,2320,138,3385,0.421,7385,4872,49765,16788,17023,15772,16782,76886,15739,30392,3008,3222,1042,2398,3805,8376,6405,28256,63,27167,6685,7782,24820,27167,11120,19702,28329,21471,38725,25274,9217,139300,254002,255002,246445,58866,28329,50257,2231,1650,104817,12509,18798,40513,10399,5921,27349,156597,,,,,,,,,,197000,85917,67518,6674,8751,23006,2010
26017,26017,26017,15150,28914,1963,733,1860,654,1254,725,1103,712,983,1344,366,107703,52731,54972,41.5,,,,,,,,,,44064,45451,22378,48200,4136,884,1210,454,30,34330,140,19923,7417,4065,2564,1350,123,28,3352,334,334,8637,6826,7722,4236,6375,1701,913460,3457,2595,3070,3094,2113,1994,3029,2498,2500,4126,4506,5729,2931,1223,879,320,556,66600,95800,147800,21785,44064,9734,36967,2009,1341,1032,1307,669,883,1610,2313,1255,3064,10737,3257,3758,2899,2273,1330,793,702,1950,3328,2827,3106,3694,3957,4106,3513,1363,2398,1079,1172,2190,1439,673,924,3158,2611,4074,1900,1386,643,495,1843,2954,3339,2755,3595,3866,4747,3752,1251,2488,720,1730,2425,1055,2150,2035,101624,929,545,591,5215,638,575,505,729,11853,,,,,159,214,7711,6979,10271,12667,23930,8265,,,,,,,,368,3462,2711,12717,2072,740,5628,2448,2120,7430,3721,2275,1775,74,2386,0.404,4916,1926,24720,7524,4922,5895,5586,25555,5882,9175,1616,2019,915,673,739,5416,3959,15337,109,15095,638,3624,706,15095,4736,5562,12391,9683,14466,17765,5823,57039,106733,,103873,17289,12391,25549,,,,8985,10271,21829,6640,3899,9924,74631,,,,,,,,,,87946,25030,44912,1063,6305,10507,2010
