geo_id,nonfamily_households,family_households,median_year_structure_built,rent_burden_not_computed,rent_over_50_percent,rent_40_to_50_percent,rent_35_to_40_percent,rent_30_to_35_percent,rent_25_to_30_percent,rent_20_to_25_percent,rent_15_to_20_percent,rent_10_to_15_percent,rent_under_10_percent,total_pop,male_pop,female_pop,median_age,white_pop,black_pop,asian_pop,hispanic_pop,amerindian_pop,other_race_pop,two_or_more_races_pop,not_hispanic_pop,commuters_by_public_transportation,households,median_income,income_per_capita,housing_units,vacant_housing_units,vacant_housing_units_for_rent,vacant_housing_units_for_sale,median_rent,percent_income_spent_on_rent,owner_occupied_housing_units,million_dollar_housing_units,mortgaged_housing_units,families_with_young_children,two_parent_families_with_young_children,two_parents_in_labor_force_families_with_young_children,two_parents_father_in_labor_force_families_with_young_children,two_parents_mother_in_labor_force_families_with_young_children,two_parents_not_in_labor_force_families_with_young_children,one_parent_families_with_young_children,father_one_parent_families_with_young_children,father_in_labor_force_one_parent_families_with_young_children,commute_10_14_mins,commute_15_19_mins,commute_20_24_mins,commute_25_29_mins,commute_30_34_mins,commute_45_59_mins,aggregate_travel_time_to_work,income_less_10000,income_10000_14999,income_15000_19999,income_20000_24999,income_25000_29999,income_30000_34999,income_35000_39999,income_40000_44999,income_45000_49999,income_50000_59999,income_60000_74999,income_75000_99999,income_100000_124999,income_125000_149999,income_150000_199999,income_200000_or_more,renter_occupied_housing_units_paying_cash_median_gross_rent,owner_occupied_housing_units_lower_value_quartile,owner_occupied_housing_units_median_value,owner_occupied_housing_units_upper_value_quartile,married_households,occupied_housing_units,housing_units_renter_occupied,dwellings_1_units_detached,dwellings_1_units_attached,dwellings_2_units,dwellings_3_to_4_units,dwellings_5_to_9_units,dwellings_10_to_19_units,dwellings_20_to_49_units,dwellings_50_or_more_units,mobile_homes,housing_built_2005_or_later,housing_built_2000_to_2004,housing_built_1939_or_earlier,male_under_5,male_5_to_9,male_10_to_14,male_15_to_17,male_18_to_19,male_20,male_21,male_22_to_24,male_25_to_29,male_30_to_34,male_35_to_39,male_40_to_44,male_45_to_49,male_50_to_54,male_55_to_59,male_60_61,male_62_64,male_65_to_66,male_67_to_69,male_70_to_74,male_75_to_79,male_80_to_84,male_85_and_over,female_under_5,female_5_to_9,female_10_to_14,female_15_to_17,female_18_to_19,female_20,female_21,female_22_to_24,female_25_to_29,female_30_to_34,female_35_to_39,female_40_to_44,female_45_to_49,female_50_to_54,female_55_to_59,female_60_to_61,female_62_to_64,female_65_to_66,female_67_to_69,female_70_to_74,female_75_to_79,female_80_to_84,female_85_and_over,white_including_hispanic,black_including_hispanic,amerindian_including_hispanic,asian_including_hispanic,commute_5_9_mins,commute_35_39_mins,commute_40_44_mins,commute_60_89_mins,commute_90_more_mins,households_retirement_income,armed_forces,civilian_labor_force,employed_pop,unemployed_pop,not_in_labor_force,pop_16_over,pop_in_labor_force,asian_male_45_54,asian_male_55_64,black_male_45_54,black_male_55_64,hispanic_male_45_54,hispanic_male_55_64,white_male_45_54,white_male_55_64,bachelors_degree_2,bachelors_degree_or_higher_25_64,children,children_in_single_female_hh,commuters_by_bus,commuters_by_car_truck_van,commuters_by_carpool,commuters_by_subway_or_elevated,commuters_drove_alone,different_house_year_ago_different_city,different_house_year_ago_same_city,employed_agriculture_forestry_fishing_hunting_mining,employed_arts_entertainment_recreation_accommodation_food,employed_construction,employed_education_health_social,employed_finance_insurance_real_estate,employed_information,employed_manufacturing,employed_other_services_not_public_admin,employed_public_administration,employed_retail_trade,employed_science_management_admin_waste,employed_transportation_warehousing_utilities,employed_wholesale_trade,female_female_households,four_more_cars,gini_index,graduate_professional_degree,group_quarters,high_school_including_ged,households_public_asst_or_food_stamps,in_grades_1_to_4,in_grades_5_to_8,in_grades_9_to_12,in_school,in_undergrad_college,less_than_high_school_graduate,male_45_64_associates_degree,male_45_64_bachelors_degree,male_45_64_graduate_degree,male_45_64_less_than_9_grade,male_45_64_grade_9_12,male_45_64_high_school,male_45_64_some_college,male_45_to_64,male_male_households,management_business_sci_arts_employed,no_car,no_cars,not_us_citizen_pop,occupation_management_arts,occupation_natural_resources_construction_maintenance,occupation_production_transportation_material,occupation_sales_office,occupation_services,one_car,two_cars,three_cars,pop_25_64,pop_determined_poverty_status,population_1_year_and_over,population_3_years_over,poverty,sales_office_employed,some_college_and_associates_degree,walked_to_work,worked_at_home,workers_16_and_over,associates_degree,bachelors_degree,high_school_diploma,less_one_year_college,masters_degree,one_year_more_college,pop_25_years_over,commute_35_44_mins,commute_60_more_mins,commute_less_10_mins,commuters_16_over,hispanic_any_race,pop_5_years_over,speak_only_english_at_home,speak_spanish_at_home,speak_spanish_at_home_low_english,pop_15_and_over,pop_never_married,pop_now_married,pop_separated,pop_widowed,pop_divorced,do_date
01081,21074,36806,1993,2031,9931,1740,1107,1165,2142,2827,1786,1435,158,154255,75977,78278,30.5,,,,,,,,,,57880,39932,25204,65570,7690,1737,1271,591,43,33558,98,19650,10106,6524,3518,2394,320,292,3582,892,892,12719,14718,10714,3060,9692,2044,1352105,8582,4931,2365,3575,3361,2607,3551,2973,2109,3942,4200,5684,3163,1849,2678,2310,748,79000,156000,241000,24431,57880,24322,35909,1009,4649,1582,2976,4562,2361,867,11655,5562,15069,2050,4626,4480,5126,3102,3662,2546,2123,7570,5684,5113,3855,5652,3978,4406,3727,1076,2305,1221,1520,1808,1153,989,255,4361,3984,4888,2695,4089,1625,3601,5193,6042,5863,5105,4958,4394,4662,3073,2151,2665,1585,1528,2303,1859,852,802,109240,35876,134,5159,6147,982,1408,1431,857,8049,634,73231,68479,4752,50689,124554,73865,,,1469,1719,,,6103,5245,17003,24592,33262,13224,,,,,,22835,11675,1116,5177,2961,20206,3520,764,9066,5189,2179,10383,4411,2842,665,195,3407,0.5434,11708,5755,23371,7747,7012,8366,7503,54649,23643,10001,1082,2710,2576,390,1138,4703,2893,15492,0,26717,1629,4171,6786,26717,4902,9358,17356,10146,17881,23563,8858,74709,148624,152910,149469,41214,17356,28501,,,,7406,17003,18165,5222,7371,15873,90584,,,,,,,,,,126790,53674,52106,3168,5335,11241,2014
29165,11880,25071,1989,1016,2250,553,836,319,732,2319,1961,1367,442,94788,46910,47878,38.8,,,,,,,,,,36951,69787,34823,40151,3200,1439,396,751,23.5,25156,86,18255,6411,5186,3432,1344,346,64,1225,168,168,7050,8006,7898,5711,6998,2862,1049770,1331,474,954,1336,1182,1619,1599,1689,1338,3823,4556,6358,3655,2207,2504,2326,940,142600,202800,292100,20127,36951,11795,26547,3261,775,2681,2611,1716,964,1307,289,1022,9353,2069,2964,2018,4273,2079,1379,873,674,1413,3072,2885,3170,3601,3238,3509,3579,1146,1656,1149,1409,1059,570,713,481,2905,3027,3557,1976,1081,342,792,1302,2788,3297,2718,3862,3453,3885,3667,1013,1618,1194,1221,1485,682,819,1194,82204,6119,602,2579,4266,1432,1629,510,196,7572,422,52718,50057,2661,21797,74937,53140,,,,,,,5886,5351,16254,22752,22799,4932,,,,,,11045,3412,460,4309,2668,10653,4324,1400,4442,2271,2345,5850,5544,3778,2013,76,3739,0.4032,9599,794,13922,2637,4448,6302,6429,26587,5041,3299,889,3239,2046,51,275,2746,3882,13128,11,21532,471,1944,3416,21532,3123,4775,14123,6504,11292,13609,6367,52157,93944,94112,91195,5964,14123,21059,,,,4302,16254,12176,5373,7358,11384,64133,,,,,,,,,,76044,20001,42179,1682,3348,7889,2014
01055,12861,26853,1971,2553,2007,1060,592,1302,1063,1792,862,1056,349,103531,50191,53340,40.4,,,,,,,,,,39714,40529,20810,47502,7788,696,769,452,29.6,27078,226,13804,6203,3621,1527,1865,192,37,2582,411,411,7133,8225,6064,1929,4265,2952,913545,3246,3944,2617,3997,1558,1609,2629,1919,1717,3432,4885,3213,2565,1017,873,493,668,52900,99700,162200,20576,39714,12636,37830,225,959,806,979,928,251,645,4833,412,3981,6823,3071,2975,3569,2140,1255,922,618,1784,2784,2843,4035,3008,3191,3627,3555,1203,1894,1271,1226,2364,1070,1012,774,2923,2683,3230,2066,1147,1017,1020,1632,2877,3077,3574,3096,3574,3627,3832,979,2626,1461,2240,1989,1854,1296,1520,83905,16122,338,686,3402,637,1180,1611,773,9381,79,48021,43010,5011,35471,83571,48100,,,879,935,,,5649,5619,7237,9242,22657,5150,,,,,,,,414,3592,2182,11464,1687,936,7898,2592,2176,4092,3300,1769,908,30,3521,0.4374,4733,1334,23457,6215,4746,5346,5762,23035,4253,11690,1010,1326,575,336,1700,4117,4406,13470,43,14265,1070,2813,1572,14265,3001,8599,8573,8572,12364,15074,5942,53402,101848,,99799,18729,8573,24362,,,,5789,7237,18712,4052,3394,14521,71479,,,,,,,,,,85080,22067,42596,1634,6523,12098,2014
55139,26147,43270,1972,584,4400,2778,1872,1971,2398,3505,3109,3028,1329,169511,86086,83425,38,,,,,,,,,907,69417,52387,27557,74207,4790,1007,1143,577,27.6,44443,117,30415,10525,6731,4770,1961,0,0,3794,1237,823,18549,16106,13335,5264,6293,2226,1579875,3469,2987,4816,3721,4382,3183,3724,3313,3069,6697,8776,9173,5696,2470,1944,1997,706,100300,142300,196400,33291,69417,24974,48992,2030,5361,2869,5203,3390,1939,3404,1019,1142,9507,15691,4922,5375,5155,2957,2797,1177,1727,4829,6128,6052,5724,5103,5746,6309,6557,1889,2674,1577,2480,2245,1773,1609,1281,4396,4484,5287,2754,2956,1398,1862,3951,4707,5337,5447,4211,5142,6359,5728,1837,3343,1768,2274,2976,2894,2280,2034,156392,4017,821,3626,14847,1172,1823,1668,1149,12989,35,93054,89519,3535,44729,137818,93089,,,,,96,115,11202,10439,20599,24618,35330,8615,907,80471,5599,0,74872,18119,8160,703,6661,3414,19329,4142,1592,22264,3854,3025,10743,6446,4042,3304,199,5103,0.4323,9260,8033,37894,9162,7736,8566,7680,43126,14111,8071,3330,3139,2199,262,1853,8767,3625,23175,0,25656,1438,4253,2671,25656,6240,19220,23181,15222,23148,27688,9225,88293,161352,168077,164869,20079,23181,37660,2301,2600,87677,12009,20599,32561,7374,6485,18277,113484,,,,,,,,,,139892,44244,68739,1445,8166,16872,2014
40017,12031,32062,1987,880,1029,1035,380,815,550,1430,1783,1428,824,129582,63335,66247,35.6,,,,,,,,,,44093,68552,29792,47133,3040,453,660,692,22.1,33939,11,22967,10577,7536,5100,2254,158,24,3041,1394,1095,6901,8783,12523,5058,10410,3773,1509435,1621,958,1243,1447,1682,2070,1962,1895,1170,4030,6817,7637,4884,3167,1534,1976,888,106000,146700,198100,25886,44093,10154,38822,907,800,704,1154,672,560,952,2496,3838,10954,3237,4459,5251,4097,3000,1518,1233,645,2064,4623,4440,4568,4442,4716,4619,3782,1158,2122,1233,1383,1579,1059,652,692,4450,5175,4595,2873,1538,1094,1366,1917,4178,5225,4597,4260,3725,4418,4334,1174,2298,1608,1641,1997,1108,1433,1243,106256,3617,4166,4540,6872,1805,1857,1332,1517,7754,0,69015,65546,3469,30732,99747,69015,,,,,838,308,6880,6203,15269,17527,33900,4243,,,,,,11224,7256,5496,4308,3580,14310,4104,963,5739,4191,5386,7035,5808,2534,2092,287,3723,0.3956,5602,2011,24174,3171,8506,7284,7426,33867,6019,6753,1242,2617,966,328,828,5591,4825,16397,0,23537,755,1286,3238,23537,6724,8520,16876,9889,11717,20276,7091,68679,127442,128087,124269,8803,16876,32509,,,,7623,15269,20048,9925,4562,14961,84307,,,,,,,,,,101555,24727,56789,2723,4452,11930,2014
22005,10749,30684,1996,1175,1391,1176,240,476,853,1018,1007,1097,829,117029,57145,59884,35.1,,,,,,,,,,41433,66576,28786,44108,2675,,,792,25.5,32171,122,21144,10150,6016,4254,1762,0,0,4134,850,807,4673,7034,7299,4564,9672,6058,1576840,3098,2496,1478,1895,1711,761,1412,702,1827,2611,4829,6385,4060,3309,3307,1552,894,109700,162700,231500,22073,41433,9262,30853,847,395,734,271,928,374,144,9249,2722,15730,1649,4534,3613,5911,2225,1154,652,894,2490,4026,3333,4177,4274,4544,3686,3800,1317,1073,981,1093,1548,1007,530,283,3680,5709,4731,2155,1262,1262,1034,1272,3660,4592,4170,4525,4359,3927,4312,1383,1248,816,1685,1639,1264,556,643,86655,25987,0,1477,3585,1657,1468,4369,1786,6227,0,61425,57802,3623,26277,87702,61425,,,1778,1086,,,6043,4884,,19359,32558,9437,,,,,,,,856,4337,6888,12519,3588,744,6885,1897,4026,6741,4106,3557,1658,74,1779,0.4187,,,,4816,7427,8715,6335,31660,4353,,624,2780,1078,659,432,5010,3837,14420,0,21936,358,1712,1263,21936,7242,7505,12539,8580,13852,18492,5598,62406,115464,,112608,19244,12539,,,,,5932,15113,18964,5420,5296,9656,74451,,,,,,,,,,88851,25295,47022,1698,4421,9964,2014
45041,15082,37634,1983,2913,4381,1189,392,1763,1822,1381,1935,1601,537,139231,64713,74518,38.5,,,,,,,,,,52716,43148,22433,59089,6373,1261,677,506,30.6,34802,82,20492,9684,4735,2929,1773,33,0,4949,184,144,10037,13709,9298,2574,6164,2985,1279825,6129,4052,2394,3641,2845,2489,3081,2304,1531,4312,5694,7155,2858,1464,1568,1199,675,70300,128300,200800,24931,52716,17914,36876,921,2259,1529,1981,1881,652,844,12093,1008,8038,2006,4446,5385,4247,2707,1890,1027,593,2729,4124,3838,3911,4307,4048,4239,3596,1857,3001,1254,2083,2433,1655,691,652,4357,3867,5636,2791,2014,451,931,3810,4533,4534,4973,4658,4719,5186,4338,2594,3256,1793,2271,2683,2099,1384,1640,75745,58956,491,2072,6782,1389,1136,1765,1179,9022,188,67419,59818,7601,41397,109004,67607,,,3204,3045,,,5009,5051,,16839,33436,14160,,,,,,14705,2792,676,5580,3200,16358,3728,753,6934,3289,3607,6481,4568,2369,2275,40,3115,0.471,,3502,,9920,7749,8263,7893,37116,8484,,1400,2906,1101,860,1227,6329,2918,16741,0,20938,1599,5194,1961,20938,4025,7436,15043,12376,17570,18680,8157,71712,135078,137483,133447,25189,15043,,,,,8335,12820,30053,4178,5743,12542,92350,,,,,,,,,,111293,37305,52413,4664,7795,8220,2014
51680,12144,15726,1967,1456,4046,1020,449,1026,1435,962,1765,1108,613,79047,37304,41743,28.5,,,,,,,,,,27870,40594,20144,32349,4479,1002,584,647,31.6,13990,25,8675,5537,3930,2678,926,0,326,1607,158,158,8723,6953,6004,1170,2585,81,,3711,1715,2016,2264,1814,1186,994,1576,1090,1878,3128,2804,2094,601,425,574,806,88200,144600,210800,10421,27870,13880,18964,1889,1873,1223,2137,2709,1601,1311,642,584,4461,6094,2566,1699,2518,946,3118,2311,2004,2139,2879,1880,2173,1000,1659,2254,2486,668,442,586,530,1144,851,574,877,2394,2099,1619,1758,3302,2515,2348,1825,3037,2156,1362,1906,2006,2493,1788,1095,1247,870,963,1220,1236,943,1561,51500,22915,17,2290,5213,35,435,331,1014,5042,0,37861,35654,2207,27577,65438,37861,,,1381,1070,,,2296,2438,8961,10711,15599,6180,,,,,,8563,8927,322,4027,2262,10501,1402,1066,3712,1811,1011,4512,2825,1335,868,0,1211,0.4788,5586,10586,11883,4608,2862,3816,2911,30064,16728,4531,592,1336,822,86,1066,1881,1726,7509,0,11968,2355,3232,3492,11968,3070,6332,7338,6946,10565,8646,4216,32531,68513,77510,75991,18351,7338,12925,,,,3078,8961,10308,2627,2908,7220,43886,,,,,,,,,,66152,32811,21875,1046,4132,6112,2014
26005,11516,30263,1979,1451,1205,760,277,416,426,1346,851,1145,391,113847,55972,57875,39.6,,,,,,,,,,41779,53796,24993,49759,7980,265,227,621,23.8,33511,71,18896,8528,7083,4559,2250,207,67,1445,146,146,7966,7769,9054,3656,5954,2988,1157760,2283,1838,1880,2348,2097,1767,3273,1802,2036,4079,4812,5606,4197,1631,1304,826,773,84900,136800,211000,25308,41779,8268,38385,1407,669,955,1396,721,361,115,5750,1021,7887,8123,3253,4085,4232,2411,1220,318,678,2135,3226,3424,3417,3377,4030,4546,4394,1877,1462,987,1759,2322,1536,577,706,3568,4711,3865,2275,1218,489,797,1710,3202,3534,3847,3051,3938,4570,3578,1911,2389,1221,1930,2179,1910,768,1214,108042,1969,1214,685,4449,1839,2272,1494,619,7094,0,55698,53341,2357,32920,88618,55698,,,,,599,132,7756,7585,11943,13647,28400,3444,,,,,,10196,3641,2148,3650,3706,10776,2124,707,14325,2672,925,4115,4527,2060,1606,189,2851,0.409,5442,1136,30838,4486,6540,7028,6498,28418,4055,6753,1641,2287,1227,400,1276,6188,3290,16309,199,14414,744,1506,1665,14414,6699,13056,11029,8143,12924,17305,7193,59773,112683,112722,109965,12485,11029,21906,,,,6271,11943,27007,6788,4321,8847,76882,,,,,,,,,,90133,22657,52656,734,4383,9606,2014
13113,9283,29662,1991,704,1838,1156,165,970,585,1597,652,783,588,109664,53274,56390,43.9,,,,,,,,,,38945,77016,35992,41344,2399,,,893,29.7,29907,334,21716,6324,4321,3150,1171,0,0,2003,574,354,5353,5135,4283,3742,6155,5792,1315380,1671,1002,927,928,1384,1346,1844,2214,1688,2040,3806,6042,2883,3700,3912,3558,1083,161700,238400,339900,24006,38945,9038,34156,787,371,652,1823,797,1004,647,1107,366,9317,411,2766,3580,3899,3314,1738,1293,476,1693,2131,2336,2420,2860,4316,4527,4349,1158,2435,1244,1677,2174,1305,1221,362,1968,3485,4152,3043,910,1231,176,2325,2478,1937,1899,4731,5536,4337,4618,1591,2020,1556,1525,2612,1698,1314,1248,76407,23405,226,5021,3969,1892,1986,4201,828,11030,516,52650,48479,4171,34638,87804,53166,,,1686,1627,,,5826,5659,19292,25849,26207,4820,,,,,,,,71,4023,2235,9482,3617,1069,5149,2579,2574,4546,4891,6575,1668,,3293,0.437,12927,,15920,2760,4752,6256,8569,30933,5607,5810,883,4018,3741,818,570,3462,3293,16785,,18719,480,566,5345,18719,2733,6045,13521,7461,9957,15934,9195,55679,109012,,106591,7231,13521,19666,,,,4563,19292,14197,3752,9214,11351,73615,,,,,,,,,,89814,22718,52211,768,3805,9159,2014
