geo_id,nonfamily_households,family_households,median_year_structure_built,rent_burden_not_computed,rent_over_50_percent,rent_40_to_50_percent,rent_35_to_40_percent,rent_30_to_35_percent,rent_25_to_30_percent,rent_20_to_25_percent,rent_15_to_20_percent,rent_10_to_15_percent,rent_under_10_percent,total_pop,male_pop,female_pop,median_age,white_pop,black_pop,asian_pop,hispanic_pop,amerindian_pop,other_race_pop,two_or_more_races_pop,not_hispanic_pop,commuters_by_public_transportation,households,median_income,income_per_capita,housing_units,vacant_housing_units,vacant_housing_units_for_rent,vacant_housing_units_for_sale,median_rent,percent_income_spent_on_rent,owner_occupied_housing_units,million_dollar_housing_units,mortgaged_housing_units,families_with_young_children,two_parent_families_with_young_children,two_parents_in_labor_force_families_with_young_children,two_parents_father_in_labor_force_families_with_young_children,two_parents_mother_in_labor_force_families_with_young_children,two_parents_not_in_labor_force_families_with_young_children,one_parent_families_with_young_children,father_one_parent_families_with_young_children,father_in_labor_force_one_parent_families_with_young_children,commute_10_14_mins,commute_15_19_mins,commute_20_24_mins,commute_25_29_mins,commute_30_34_mins,commute_45_59_mins,aggregate_travel_time_to_work,income_less_10000,income_10000_14999,income_15000_19999,income_20000_24999,income_25000_29999,income_30000_34999,income_35000_39999,income_40000_44999,income_45000_49999,income_50000_59999,income_60000_74999,income_75000_99999,income_100000_124999,income_125000_149999,income_150000_199999,income_200000_or_more,renter_occupied_housing_units_paying_cash_median_gross_rent,owner_occupied_housing_units_lower_value_quartile,owner_occupied_housing_units_median_value,owner_occupied_housing_units_upper_value_quartile,married_households,occupied_housing_units,housing_units_renter_occupied,dwellings_1_units_detached,dwellings_1_units_attached,dwellings_2_units,dwellings_3_to_4_units,dwellings_5_to_9_units,dwellings_10_to_19_units,dwellings_20_to_49_units,dwellings_50_or_more_units,mobile_homes,housing_built_2005_or_later,housing_built_2000_to_2004,housing_built_1939_or_earlier,male_under_5,male_5_to_9,male_10_to_14,male_15_to_17,male_18_to_19,male_20,male_21,male_22_to_24,male_25_to_29,male_30_to_34,male_35_to_39,male_40_to_44,male_45_to_49,male_50_to_54,male_55_to_59,male_60_61,male_62_64,male_65_to_66,male_67_to_69,male_70_to_74,male_75_to_79,male_80_to_84,male_85_and_over,female_under_5,female_5_to_9,female_10_to_14,female_15_to_17,female_18_to_19,female_20,female_21,female_22_to_24,female_25_to_29,female_30_to_34,female_35_to_39,female_40_to_44,female_45_to_49,female_50_to_54,female_55_to_59,female_60_to_61,female_62_to_64,female_65_to_66,female_67_to_69,female_70_to_74,female_75_to_79,female_80_to_84,female_85_and_over,white_including_hispanic,black_including_hispanic,amerindian_including_hispanic,asian_including_hispanic,commute_5_9_mins,commute_35_39_mins,commute_40_44_mins,commute_60_89_mins,commute_90_more_mins,households_retirement_income,armed_forces,civilian_labor_force,employed_pop,unemployed_pop,not_in_labor_force,pop_16_over,pop_in_labor_force,asian_male_45_54,asian_male_55_64,black_male_45_54,black_male_55_64,hispanic_male_45_54,hispanic_male_55_64,white_male_45_54,white_male_55_64,bachelors_degree_2,bachelors_degree_or_higher_25_64,children,children_in_single_female_hh,commuters_by_bus,commuters_by_car_truck_van,commuters_by_carpool,commuters_by_subway_or_elevated,commuters_drove_alone,different_house_year_ago_different_city,different_house_year_ago_same_city,employed_agriculture_forestry_fishing_hunting_mining,employed_arts_entertainment_recreation_accommodation_food,employed_construction,employed_education_health_social,employed_finance_insurance_real_estate,employed_information,employed_manufacturing,employed_other_services_not_public_admin,employed_public_administration,employed_retail_trade,employed_science_management_admin_waste,employed_transportation_warehousing_utilities,employed_wholesale_trade,female_female_households,four_more_cars,gini_index,graduate_professional_degree,group_quarters,high_school_including_ged,households_public_asst_or_food_stamps,in_grades_1_to_4,in_grades_5_to_8,in_grades_9_to_12,in_school,in_undergrad_college,less_than_high_school_graduate,male_45_64_associates_degree,male_45_64_bachelors_degree,male_45_64_graduate_degree,male_45_64_less_than_9_grade,male_45_64_grade_9_12,male_45_64_high_school,male_45_64_some_college,male_45_to_64,male_male_households,management_business_sci_arts_employed,no_car,no_cars,not_us_citizen_pop,occupation_management_arts,occupation_natural_resources_construction_maintenance,occupation_production_transportation_material,occupation_sales_office,occupation_services,one_car,two_cars,three_cars,pop_25_64,pop_determined_poverty_status,population_1_year_and_over,population_3_years_over,poverty,sales_office_employed,some_college_and_associates_degree,walked_to_work,worked_at_home,workers_16_and_over,associates_degree,bachelors_degree,high_school_diploma,less_one_year_college,masters_degree,one_year_more_college,pop_25_years_over,commute_35_44_mins,commute_60_more_mins,commute_less_10_mins,commuters_16_over,hispanic_any_race,pop_5_years_over,speak_only_english_at_home,speak_spanish_at_home,speak_spanish_at_home_low_english,do_date,pop_15_and_over,pop_never_married,pop_now_married,pop_separated,pop_widowed,pop_divorced
48451,16121,27376,1974,792,3429,1310,1228,1980,2434,1234,1918,1641,1048,118386,58379,60007,33.8,63813,5217,991,46505,221,79,1560,71881,,43497,48696,27375,48470,4973,1504,671,687,29.7,26483,0,14545,,,,,,,,,,17287,12181,4759,1500,2252,733,1005940,2232,2285,2752,2862,2809,2711,3197,1377,1946,3519,5112,4253,3384,1773,1722,1563,846,81000,139900,210200,19866,43497,17014,33571,1809,731,1025,1349,905,894,4601,3527,809,1736,1887,4084,3388,4021,2208,3519,1109,1414,2253,4991,4632,3272,2888,3180,2996,3366,1317,1761,826,1962,1916,982,1319,975,4332,3246,4380,2057,2040,1410,902,2166,4554,4491,3049,3627,3129,3660,3523,1459,2149,837,2145,2416,1645,1285,1505,105757,5937,506,1289,11250,163,189,960,1947,8271,2924,58573,56349,2224,32107,93604,61497,,,,,2342,1983,3499,4231,12911,13887,27716,7106,,,,,,12663,10015,3064,5311,3514,14796,3158,1460,3645,2348,2691,9368,4615,1061,1318,0,1908,0.449,6062,6070,21390,5037,6364,6289,5979,32010,8933,11907,927,1616,1022,1057,1967,3360,2671,12620,100,16348,1531,2345,3938,16348,6397,6759,15132,11713,16445,17235,5564,58044,112663,117687,113296,13387,15132,23587,,,,4749,12911,17130,4693,4185,14145,75857,,,,,,,,,,2016,,,,,,
26037,8353,20591,1980,893,947,410,426,128,330,392,896,520,436,77888,38323,39565,40.1,,,,,,,,,,28944,65730,32622,31301,2357,478,335,628,25,23566,128,14669,5044,4276,2931,1282,63,0,768,112,112,4112,6570,7066,2984,4809,1405,830755,1491,698,1016,740,1771,1493,864,1038,1204,2642,3302,4310,3115,1856,1558,1846,742,117800,172800,246300,17253,28944,5378,24607,679,179,688,881,1789,318,190,1939,686,764,1189,2040,3336,1948,1689,854,602,330,1384,2341,2191,2613,1784,2623,3025,2928,1057,1492,917,985,1796,1063,716,609,2046,2430,2636,1748,996,578,763,1439,2112,2257,2493,2244,2772,2907,2952,1072,1507,1140,902,1639,1032,723,1177,73219,1298,204,1540,2844,1429,1043,1147,633,8029,26,39745,38291,1454,22546,62317,39771,,,,,336,123,5106,5234,10518,14056,17873,2846,,,,,,,,782,2420,2472,9206,3083,637,4524,1808,3308,4142,3801,1418,690,70,2212,0.4254,6880,732,14857,1526,4275,3731,4391,21261,5342,2618,1091,2516,1083,170,228,3191,2846,11125,68,15231,694,1120,1244,15231,3586,4189,9078,6207,7667,12675,5270,40370,77205,,75683,7476,9078,18196,,,,5267,10518,13219,4480,4432,8449,53069,,,,,,,,,,2016,,,,,,
22079,15320,32425,1974,2732,4219,1375,1681,2347,1408,1361,1936,1241,781,132424,64622,67802,37.4,,,,,,,,,,47745,42582,24764,57526,9781,1839,417,567,33.1,28664,74,14459,10431,5065,3379,1403,198,85,5366,1499,1499,9417,11877,9270,2834,5171,1855,1314015,4307,3073,4247,2571,3280,2289,2758,1983,1994,3051,4696,5326,2860,1766,1695,1849,761,82700,133400,212800,20239,47745,19081,38803,1100,2650,2181,2008,495,445,1279,8565,805,2799,4999,4667,4758,4767,3076,2264,581,1136,2339,4268,3515,4045,4131,3866,4353,4062,2193,1854,1107,1995,2368,1606,1035,636,4387,3354,5477,2696,1851,694,553,2416,4528,4722,4789,3313,3914,4503,4587,1958,2441,1480,1675,3213,1682,1157,2412,84072,42337,701,2230,6424,1286,706,1232,2240,11383,869,58996,55199,3797,43047,102912,59865,,,2179,2263,,,5215,5438,12264,15101,33182,12668,,,,,,14258,3648,2126,5095,2957,16017,1687,613,3526,3241,4521,5403,4941,3567,1505,0,2152,0.4997,6262,3798,32382,8120,6781,8274,8090,33845,5732,12314,393,2388,1204,421,1990,6476,3456,16328,11,17674,3028,4950,1915,17674,6251,6702,12236,12336,17664,17046,5933,67042,128616,130709,126987,25096,12236,24186,,,,4072,12264,25977,7064,4137,13050,87408,,,,,,,,,,2016,,,,,,
29097,15080,30650,1978,1582,3083,1391,1257,940,1061,1992,2459,1595,491,119111,57629,61482,36.3,,,,,,,,,,45730,45786,23255,52029,6299,,,547,27.8,29879,0,18102,9211,5549,2624,2734,101,90,3662,1098,1098,10722,14533,6918,1807,5051,933,906600,3644,2794,2304,2632,3126,2769,2958,2243,2268,4815,4385,6421,1868,1493,1103,907,737,71300,113500,166600,22677,45730,15851,40765,480,2533,2033,1160,684,273,1080,2861,2182,3645,2385,3798,4256,4577,2176,1992,824,980,2309,3759,3939,3692,3886,3491,3728,3974,1471,1268,1188,2307,1121,1606,660,627,4352,4274,3962,2600,1641,664,302,2811,4418,3713,3799,4183,4053,3656,4356,1117,1973,1822,1432,2034,1871,1126,1323,107566,2615,2263,1634,9957,509,192,1054,356,7202,0,59436,55577,3859,33036,92472,59436,,,,,395,163,6183,6286,11452,13363,29995,7761,,,,,,13243,3297,1025,6300,3716,12186,3070,666,9001,2249,2237,6860,4129,2968,1170,29,2736,0.4517,4897,2263,28050,7462,6539,7152,5977,30780,6340,10192,622,1564,882,359,1409,5917,3179,13932,253,16074,1131,2628,3754,16074,5754,9223,15348,9178,16096,19068,5202,60476,117086,118038,114429,21358,15348,23002,,,,5995,11452,22718,5562,3581,11445,77593,,,,,,,,,,2016,,,,,,
26087,10696,22482,1978,868,1628,607,975,1125,533,507,515,638,489,88340,45360,42980,44.6,,,,,,,,,,33178,54309,26459,36321,3143,,,639,33.7,25293,0,15785,5689,4149,2540,1531,78,0,1540,392,392,3579,5152,2971,2067,4165,4478,1296075,1662,1645,1824,2213,2015,1378,1216,1703,1078,3259,4613,3793,2828,1498,1458,995,820,106700,165100,244700,18003,33178,7885,29698,425,915,575,747,595,546,234,2570,86,90,1138,2307,3229,1905,1902,1290,255,502,1864,2791,2476,2000,2802,3313,4423,3947,1327,1840,757,2004,1888,1266,770,502,2246,1969,3137,1730,812,321,657,1246,2355,2121,2203,2390,3237,3685,3834,1551,1624,1257,1877,1483,1356,1073,816,84352,1009,203,509,3034,1344,1369,4786,2837,9566,0,42498,39137,3361,29750,72248,42498,,,,,,,6503,6809,7307,9107,18425,2383,,,,,,,,789,3328,2888,8037,1568,460,9754,2036,889,4135,3211,1640,402,39,3354,0.433,3788,1854,24180,5529,3552,4471,4856,18788,2756,6786,1021,1598,838,435,766,7365,2827,14850,122,11159,635,2132,524,11159,4454,8832,7955,6737,8672,13237,5783,47919,86772,,85269,10064,7955,20907,,,,6834,7307,21153,5316,3154,8757,62968,,,,,,,,,,2016,,,,,,
47147,6294,19008,1990,798,1241,852,117,232,1041,699,631,942,408,69165,33717,35448,37.9,,,,,,,,,,25302,60423,28094,26842,1540,,,689,26.9,18341,128,12297,4670,3291,2233,788,270,0,1379,291,291,3485,3460,3698,1064,4073,4823,931215,1416,749,712,1758,1440,1203,880,1179,1451,1732,3663,3548,1903,2068,802,798,869,127800,169500,262100,14133,25302,6961,20671,377,893,465,457,644,271,43,3021,64,784,732,2147,2834,2010,1422,707,511,728,360,2363,2477,2147,2203,2420,2471,2761,478,1180,987,967,950,809,442,343,2341,2220,2658,1340,487,259,211,1662,2345,2295,2353,2083,2157,2826,2387,782,1823,422,1288,1412,826,941,330,62171,4986,125,429,3608,1434,1334,3260,526,4604,0,35978,34396,1582,18209,54187,35978,,,282,200,,,4283,4123,6148,7972,16972,4189,,,,,,,,1147,3252,3801,5793,1648,252,3972,1554,1742,5338,3294,1629,974,0,2987,0.437,3163,923,17855,3499,4505,3419,4248,15320,1163,6760,480,1388,714,836,831,2991,2070,9310,24,10846,641,1192,1588,10846,4981,5431,8498,4640,6487,9491,5145,37551,68108,,66563,5705,8498,13342,,,,3688,6148,14695,3798,2825,5856,47268,,,,,,,,,,2016,,,,,,
13013,6921,17944,1997,799,1284,760,298,554,528,1190,1253,669,186,77126,37956,39170,35.5,,,,,,,,,,24865,54256,21581,27598,2733,,,726,25.6,17344,0,11917,5539,4265,2476,1433,207,149,1274,364,364,2433,3457,3762,2070,4751,4270,1157435,1526,1255,661,1620,1227,1621,779,1607,1119,2561,2600,3795,2626,668,677,523,947,106700,142300,181300,13258,24865,7521,22160,302,1086,275,422,194,0,124,3035,671,783,279,2327,2825,3822,1590,1101,227,556,1243,2987,2977,2591,2920,2265,2421,2387,721,915,630,902,1431,558,287,273,2537,3438,2333,1653,702,258,474,1441,2983,2474,3181,2647,2910,2731,2600,918,1072,888,860,1245,1061,354,410,60355,8123,337,2902,2347,906,1968,4032,1926,3966,0,36530,34622,1908,22395,58925,36530,,,376,308,,,3798,3345,5625,7945,20525,3671,,,,,,,,469,2007,2794,6862,2016,621,5114,2329,902,4892,3544,2069,1003,0,2340,0.388,3651,,17219,3876,5593,4566,4791,21526,3452,8358,546,1128,338,548,1616,2965,1568,8709,55,10811,650,726,3981,10811,4615,6087,9011,4098,7121,10262,4416,41700,76668,,74083,10941,9011,15746,,,,4129,5625,12373,4514,2847,7103,50599,,,,,,,,,,2016,,,,,,
05045,15107,28857,1994,1756,3732,990,1256,1666,779,2982,2058,1825,222,122227,59273,62954,33.1,,,,,,,,,,43964,48506,24526,49328,5364,,,651,29.3,26698,68,17458,8832,6205,4110,1786,134,175,2627,736,699,8578,8081,6134,1659,4216,6938,1194215,3927,2856,1988,1960,2870,2562,2717,1858,1581,4093,3971,6201,2841,1867,1548,1124,806,111500,159900,230800,22587,43964,17266,31339,853,3141,1240,3260,2976,375,348,5651,2272,4612,1069,3717,3520,4838,2372,2479,1770,843,3840,4307,4054,4295,3663,3747,3497,2975,1237,1691,1129,1514,1516,1126,733,410,3719,4270,3818,2116,3192,714,1833,4510,4366,4497,4655,2914,3691,3569,3854,1204,1795,1154,1834,1745,1229,921,1354,100295,12771,277,1404,7314,1522,3083,2190,172,7032,67,56882,54840,2042,39726,96675,56949,,,454,385,,,6156,5467,12759,17787,28370,5015,,,,,,9346,3636,445,4575,2884,13265,3255,1067,6026,3721,1695,7963,5785,2762,1397,159,3119,0.4724,8798,5236,23926,4673,6304,6360,6478,36968,12060,6390,756,2105,1524,634,1045,3417,3666,13147,19,18410,744,2206,2701,18410,4056,7582,14921,9871,12982,17252,8405,60011,116948,120979,118108,22285,14921,22803,,,,4832,12759,17878,3758,6525,14213,74676,,,,,,,,,,2016,,,,,,
19169,17639,19711,1980,567,6892,1683,728,954,1091,2117,1475,1574,942,97090,49721,47369,26.9,,,,,,,,,,37350,53371,27937,39130,1780,,,775,38.9,19327,6,12983,4513,3624,2422,1202,0,0,889,213,213,12370,9046,6284,2763,1887,2142,867915,3964,1597,2545,2479,1622,846,1651,1444,1340,2662,3248,4152,3561,2892,1584,1763,867,124800,173800,268500,16799,37350,18023,21053,1509,1556,1529,2890,5612,3253,628,1100,887,1497,776,2269,2404,1916,1564,5870,2768,2176,4360,5177,2801,2728,1866,2205,2292,2585,1019,732,834,1062,1070,775,458,790,2145,1515,2431,1304,4018,4969,1755,3978,3143,2226,1939,2286,2789,2109,2561,600,1464,754,803,1586,987,974,1033,84190,1423,178,8417,9042,710,1779,1063,185,4563,30,57551,54884,2667,25651,83232,57581,455,0,,,,,3703,4125,16276,23216,15548,2421,,,,,,16730,12461,1297,5047,1569,17970,4078,958,5898,2852,2623,5074,4912,1582,1024,25,2595,0.4647,12052,9525,9545,2856,3550,3719,3775,44208,26603,1284,973,1960,1527,0,181,2027,2165,8833,0,25732,1750,2819,7958,25732,2558,4882,12013,9699,12137,12915,6884,40522,87337,96323,94562,18802,12013,12491,,,,4353,16276,8312,2838,8015,5300,51648,,,,,,,,,,2016,,,,,,
72113,16736,35711,1976,10945,1749,985,903,809,855,1183,586,537,542,145278,69855,75423,40.7,,,,,,,,,,52447,17454,10166,66922,14475,1917,1358,290,32.3,33353,0,12956,9091,2561,1263,1074,0,224,6530,645,468,6465,10105,6336,3593,4929,1265,901985,18193,5739,4618,4211,2812,3340,2696,2103,1659,1952,2087,1482,695,125,378,357,383,74300,96100,129800,17871,52447,19094,46172,5979,1213,1956,2257,4971,2275,2015,84,0,374,2634,3957,4461,4179,3026,2205,1204,770,3676,5200,4216,4439,3789,3989,3998,4792,1862,1674,1785,2090,3405,2221,1957,960,3715,4350,3865,3010,2024,1323,1436,2313,4745,4168,3134,5295,4227,4825,5168,2170,3017,2291,2813,3923,3933,1809,1869,108935,6722,0,62,1218,873,618,2054,678,8652,137,45371,39864,5507,73578,119086,45508,,,462,680,7951,8260,,,,22772,30563,17893,,,,,,,,354,4156,2079,11027,1861,978,3120,1603,2654,6107,3488,1565,872,0,2141,0.5499,,4003,,25024,7602,6202,7230,35722,9699,,1470,2508,801,2189,1544,5193,2610,16315,53,13462,1771,10315,,13462,3631,4348,11383,7040,24000,12292,3699,70708,141420,,140844,69943,11383,,,,,9650,21301,26037,1686,4096,10195,99764,,,,,,,,,,2016,,,,,,
