,state,county,candidate,party,total_votes,won,county_st,just_co
0,Delaware,Kent County,Joe Biden,DEM,44552,True,"Kent County, Delaware",Kent 
1,Delaware,Kent County,Donald Trump,REP,41009,False,"Kent County, Delaware",Kent 
2,Delaware,Kent County,Jo Jorgensen,LIB,1044,False,"Kent County, Delaware",Kent 
3,Delaware,Kent County,Howie Hawkins,GRN,420,False,"Kent County, Delaware",Kent 
4,Delaware,New Castle County,Joe Biden,DEM,195034,True,"New Castle County, Delaware",New Castle 
5,Delaware,New Castle County,Donald Trump,REP,88364,False,"New Castle County, Delaware",New Castle 
6,Delaware,New Castle County,Jo Jorgensen,LIB,2953,False,"New Castle County, Delaware",New Castle 
7,Delaware,New Castle County,Howie Hawkins,GRN,1282,False,"New Castle County, Delaware",New Castle 
8,Delaware,Sussex County,Donald Trump,REP,71230,True,"Sussex County, Delaware",Sussex 
9,Delaware,Sussex County,Joe Biden,DEM,56682,False,"Sussex County, Delaware",Sussex 
10,Delaware,Sussex County,Jo Jorgensen,LIB,1003,False,"Sussex County, Delaware",Sussex 
11,Delaware,Sussex County,Howie Hawkins,GRN,437,False,"Sussex County, Delaware",Sussex 
12,District of Columbia,District of Columbia,Joe Biden,DEM,39041,True,"District of Columbia, District of Columbia",District of Co
13,District of Columbia,District of Columbia,Donald Trump,REP,1725,False,"District of Columbia, District of Columbia",District of Co
14,District of Columbia,District of Columbia, Write-ins,WRI,298,False,"District of Columbia, District of Columbia",District of Co
15,District of Columbia,District of Columbia,Howie Hawkins,GRN,259,False,"District of Columbia, District of Columbia",District of Co
16,District of Columbia,District of Columbia,Jo Jorgensen,LIB,204,False,"District of Columbia, District of Columbia",District of Co
17,District of Columbia,District of Columbia,Gloria La Riva,PSL,108,False,"District of Columbia, District of Columbia",District of Co
18,District of Columbia,District of Columbia,Brock Pierce,IND,46,False,"District of Columbia, District of Columbia",District of Co
19,District of Columbia,Ward 2,Joe Biden,DEM,29078,True,"Ward 2, District of Columbia",
20,District of Columbia,Ward 2,Donald Trump,REP,2918,False,"Ward 2, District of Columbia",
21,District of Columbia,Ward 2, Write-ins,WRI,370,False,"Ward 2, District of Columbia",
22,District of Columbia,Ward 2,Jo Jorgensen,LIB,302,False,"Ward 2, District of Columbia",
23,District of Columbia,Ward 2,Howie Hawkins,GRN,124,False,"Ward 2, District of Columbia",
24,District of Columbia,Ward 2,Gloria La Riva,PSL,50,False,"Ward 2, District of Columbia",
25,District of Columbia,Ward 2,Brock Pierce,IND,39,False,"Ward 2, District of Columbia",
26,District of Columbia,Ward 3,Joe Biden,DEM,39397,True,"Ward 3, District of Columbia",
27,District of Columbia,Ward 3,Donald Trump,REP,3705,False,"Ward 3, District of Columbia",
28,District of Columbia,Ward 3, Write-ins,WRI,491,False,"Ward 3, District of Columbia",
29,District of Columbia,Ward 3,Jo Jorgensen,LIB,344,False,"Ward 3, District of Columbia",
30,District of Columbia,Ward 3,Howie Hawkins,GRN,159,False,"Ward 3, District of Columbia",
31,District of Columbia,Ward 3,Gloria La Riva,PSL,74,False,"Ward 3, District of Columbia",
32,District of Columbia,Ward 3,Brock Pierce,IND,61,False,"Ward 3, District of Columbia",
33,District of Columbia,Ward 4,Joe Biden,DEM,42489,True,"Ward 4, District of Columbia",
34,District of Columbia,Ward 4,Donald Trump,REP,1913,False,"Ward 4, District of Columbia",
35,District of Columbia,Ward 4, Write-ins,WRI,308,False,"Ward 4, District of Columbia",
36,District of Columbia,Ward 4,Howie Hawkins,GRN,234,False,"Ward 4, District of Columbia",
37,District of Columbia,Ward 4,Jo Jorgensen,LIB,161,False,"Ward 4, District of Columbia",
38,District of Columbia,Ward 4,Gloria La Riva,PSL,125,False,"Ward 4, District of Columbia",
39,District of Columbia,Ward 4,Brock Pierce,IND,66,False,"Ward 4, District of Columbia",
40,District of Columbia,Ward 5,Joe Biden,DEM,43320,True,"Ward 5, District of Columbia",
41,District of Columbia,Ward 5,Donald Trump,REP,1769,False,"Ward 5, District of Columbia",
42,District of Columbia,Ward 5, Write-ins,WRI,323,False,"Ward 5, District of Columbia",
43,District of Columbia,Ward 5,Howie Hawkins,GRN,271,False,"Ward 5, District of Columbia",
44,District of Columbia,Ward 5,Jo Jorgensen,LIB,212,False,"Ward 5, District of Columbia",
45,District of Columbia,Ward 5,Gloria La Riva,PSL,115,False,"Ward 5, District of Columbia",
46,District of Columbia,Ward 5,Brock Pierce,IND,97,False,"Ward 5, District of Columbia",
47,District of Columbia,Ward 6,Joe Biden,DEM,56719,True,"Ward 6, District of Columbia",
48,District of Columbia,Ward 6,Donald Trump,REP,4337,False,"Ward 6, District of Columbia",
49,District of Columbia,Ward 6, Write-ins,WRI,857,False,"Ward 6, District of Columbia",
50,District of Columbia,Ward 6,Jo Jorgensen,LIB,561,False,"Ward 6, District of Columbia",
51,District of Columbia,Ward 6,Howie Hawkins,GRN,253,False,"Ward 6, District of Columbia",
52,District of Columbia,Ward 6,Gloria La Riva,PSL,104,False,"Ward 6, District of Columbia",
53,District of Columbia,Ward 6,Brock Pierce,IND,87,False,"Ward 6, District of Columbia",
54,District of Columbia,Ward 7,Joe Biden,DEM,36382,True,"Ward 7, District of Columbia",
55,District of Columbia,Ward 7,Donald Trump,REP,1134,False,"Ward 7, District of Columbia",
56,District of Columbia,Ward 7, Write-ins,WRI,270,False,"Ward 7, District of Columbia",
57,District of Columbia,Ward 7,Howie Hawkins,GRN,232,False,"Ward 7, District of Columbia",
58,District of Columbia,Ward 7,Brock Pierce,IND,132,False,"Ward 7, District of Columbia",
59,District of Columbia,Ward 7,Jo Jorgensen,LIB,118,False,"Ward 7, District of Columbia",
60,District of Columbia,Ward 7,Gloria La Riva,PSL,116,False,"Ward 7, District of Columbia",
61,District of Columbia,Ward 8,Joe Biden,DEM,30897,True,"Ward 8, District of Columbia",
62,District of Columbia,Ward 8,Donald Trump,REP,1085,False,"Ward 8, District of Columbia",
63,District of Columbia,Ward 8, Write-ins,WRI,220,False,"Ward 8, District of Columbia",
64,District of Columbia,Ward 8,Howie Hawkins,GRN,194,False,"Ward 8, District of Columbia",
65,District of Columbia,Ward 8,Brock Pierce,IND,165,False,"Ward 8, District of Columbia",
66,District of Columbia,Ward 8,Gloria La Riva,PSL,163,False,"Ward 8, District of Columbia",
67,District of Columbia,Ward 8,Jo Jorgensen,LIB,134,False,"Ward 8, District of Columbia",
68,Florida,Alachua County,Joe Biden,DEM,89704,True,"Alachua County, Florida",Alachua 
69,Florida,Alachua County,Donald Trump,REP,50972,False,"Alachua County, Florida",Alachua 
70,Florida,Alachua County,Jo Jorgensen,LIB,1390,False,"Alachua County, Florida",Alachua 
71,Florida,Alachua County,Howie Hawkins,GRN,302,False,"Alachua County, Florida",Alachua 
72,Florida,Alachua County,Gloria La Riva,PSL,94,False,"Alachua County, Florida",Alachua 
73,Florida,Alachua County,Rocky De La Fuente,ALI,70,False,"Alachua County, Florida",Alachua 
74,Florida,Alachua County,Don Blankenship,CST,52,False,"Alachua County, Florida",Alachua 
75,Florida,Alachua County, Write-ins,WRI,20,False,"Alachua County, Florida",Alachua 
76,Florida,Baker County,Donald Trump,REP,11911,True,"Baker County, Florida",Baker 
77,Florida,Baker County,Joe Biden,DEM,2037,False,"Baker County, Florida",Baker 
78,Florida,Baker County,Jo Jorgensen,LIB,93,False,"Baker County, Florida",Baker 
79,Florida,Baker County,Howie Hawkins,GRN,10,False,"Baker County, Florida",Baker 
80,Florida,Baker County,Rocky De La Fuente,ALI,4,False,"Baker County, Florida",Baker 
81,Florida,Baker County,Gloria La Riva,PSL,3,False,"Baker County, Florida",Baker 
82,Florida,Baker County,Don Blankenship,CST,1,False,"Baker County, Florida",Baker 
83,Florida,Baker County, Write-ins,WRI,0,False,"Baker County, Florida",Baker 
84,Florida,Bay County,Donald Trump,REP,66097,True,"Bay County, Florida",Bay 
85,Florida,Bay County,Joe Biden,DEM,25614,False,"Bay County, Florida",Bay 
86,Florida,Bay County,Jo Jorgensen,LIB,1004,False,"Bay County, Florida",Bay 
87,Florida,Bay County,Howie Hawkins,GRN,142,False,"Bay County, Florida",Bay 
88,Florida,Bay County,Rocky De La Fuente,ALI,54,False,"Bay County, Florida",Bay 
89,Florida,Bay County,Don Blankenship,CST,52,False,"Bay County, Florida",Bay 
90,Florida,Bay County,Gloria La Riva,PSL,45,False,"Bay County, Florida",Bay 
