,zip,1/1/2020,2/1/2020,3/1/2020,4/1/2020,5/1/2020,6/1/2020,7/1/2020,8/1/2020,9/1/2020,10/1/2020,11/1/2020,12/1/2020,1/1/2021,2/1/2021,3/1/2021,4/1/2021,5/1/2021,6/1/2021,,,,,,,,,,,,,,,,,
0,1603,1268.29508,1283.176584,1291.274894,1298.373203,1305.471512,1312.569822,1319.668131,1324.76644,1329.86475,1335.963059,1340.061368,1344.159678,1360.553067,1376.532881,1385.729499,1393.926118,1402.122737,1410.319356,,,,,,,,,,,,,,,,,
1,1604,1385.346879,1400.209246,1407.581975,1414.954704,1424.327434,1433.700163,1443.072893,1452.445622,1460.818351,1470.191081,1477.56381,1484.93654,1500.656148,1516.891244,1525.636703,1534.382162,1545.12762,1555.873079,,,,,,,,,,,,,,,,,
2,1609,1318.098588,1346.757814,1350.11066,1354.463507,1358.816354,1363.169201,1367.522047,1373.874894,1380.227741,1386.580588,1392.933434,1399.286281,1431.737716,1461.749788,1466.455482,1472.161175,1477.866869,1483.572562,,,,,,,,,,,,,,,,,
3,1610,1354.326971,1406.501029,1406.151728,1404.802427,1404.453126,1404.103825,1403.754524,1410.405223,1416.055922,1422.706621,1427.35732,1432.008019,1492.985689,1546.810446,1548.111844,1548.413242,1549.71464,1551.016038,,,,,,,,,,,,,,,,,
4,1701,2031.261947,2076.144123,2077.652947,2079.16177,2076.670594,2074.179418,2071.688241,2078.197065,2084.705888,2091.214712,2096.723536,2102.232359,2158.00313,2204.39413,2207.411777,2210.429424,2209.447071,2208.464718,,,,,,,,,,,,,,,,,
5,1702,1986.581816,2013.843667,2023.430567,2032.017466,2040.604366,2049.191265,2056.778165,2065.365064,2071.951964,2078.538863,2086.125763,2092.712662,2119.881378,2148.730129,2159.903928,2170.077727,2180.251526,2190.425325,,,,,,,,,,,,,,,,,
6,1752,1755.575623,1798.13637,1807.82317,1818.509969,1824.196769,1830.883568,1836.570368,1840.257168,1843.943967,1847.630767,1850.317566,1853.004366,1897.266789,1941.514335,1952.887934,1965.261534,1972.635133,1981.008732,,,,,,,,,,,,,,,,,
7,1760,2218.992252,2236.396816,2238.594032,2240.791249,2246.988466,2253.185682,2259.382899,2267.580116,2275.777332,2284.974549,2290.171766,2296.368982,2319.558451,2338.160231,2341.554665,2344.949098,2352.343531,2359.737965,,,,,,,,,,,,,,,,,
8,1801,2220.632894,2274.59714,2281.577923,2288.558705,2295.539488,2302.520271,2308.501054,2314.481836,2320.462619,2325.443402,2329.424184,2333.404967,2387.018644,2442.963673,2451.925238,2460.886803,2469.848369,2478.809934,,,,,,,,,,,,,,,,,
9,1810,2425.838359,2464.320516,2470.99614,2478.671763,2486.347387,2495.02301,2502.698634,2509.374257,2516.049881,2522.725504,2523.401128,2525.076751,2566.590733,2606.748514,2615.099761,2624.451008,2633.802255,2644.153502,,,,,,,,,,,,,,,,,
10,1851,1512.742529,1545.489964,1549.893937,1554.297909,1557.701881,1562.105853,1565.509825,1571.913797,1577.317769,1582.721741,1588.125713,1593.529686,1630.676187,1664.827594,1670.635538,1676.443483,1681.251427,1687.059371,,,,,,,,,,,,,,,,,
