,RegionName,SizeRank,MsaName,year,rent_price,asian_pop,median_income,income_per_capita,income_150000_199999,income_200000_or_more,renter_occupied_housing_units_paying_cash_median_gross_rent,owner_occupied_housing_units_lower_value_quartile,owner_occupied_housing_units_median_value,owner_occupied_housing_units_upper_value_quartile,median_rent,million_dollar_housing_units,masters_degree,bachelors_degree_or_higher_25_64,graduate_professional_degree,male_45_64_graduate_degree,employed_information,income_25000_29999,income_30000_34999,income_35000_39999,income_40000_44999,one_parent_families_with_young_children
0,10025,1,"New York, NY",2014,2951.25,9222,71865.0,56151.0,3569.0,7342.0,1438.0,600500.0,976900.0,1000001.0,1343.0,4780,17296,41081.0,27236.0,4319,3283.0,1666.0,1614.0,1189.0,1343.0,1119.0
1,60657,2,"Chicago, IL",2014,1512.5,4572,78796.0,63402.0,2886.0,5593.0,1245.0,270300.0,389600.0,595700.0,1186.0,1006,11489,39358.0,17489.0,2328,1857.0,1258.0,939.0,1180.0,1653.0,429.0
2,10023,3,"New York, NY",2014,3180.5833333333335,5648,111265.0,99916.0,3633.0,8908.0,2001.0,547300.0,893800.0,1000001.0,1999.0,5575,14600,32034.0,23526.0,4133,3270.0,788.0,535.0,757.0,786.0,364.0
3,77494,4,"Houston, TX",2014,1537.75,10967,131694.0,47019.0,4149.0,5793.0,1366.0,209300.0,277300.0,369000.0,1159.0,34,7704,29140.0,10693.0,2661,607.0,594.0,189.0,374.0,411.0,471.0
4,60614,5,"Chicago, IL",2014,1704.25,3744,88256.0,68257.0,3409.0,6248.0,1331.0,312300.0,480200.0,789900.0,1254.0,2514,10959,36545.0,17876.0,2497,1346.0,550.0,1026.0,769.0,1063.0,497.0
5,77449,6,"Houston, TX",2014,1265.4166666666667,4923,66550.0,22716.0,1254.0,747.0,1263.0,97300.0,120100.0,145800.0,1034.0,14,2488,12063.0,2982.0,485,683.0,1025.0,1093.0,1602.0,1234.0,2869.0
6,10002,7,"New York, NY",2014,2773.1666666666665,34816,32966.0,26905.0,952.0,1773.0,863.0,397400.0,544900.0,736700.0,813.0,496,4001,16875.0,5791.0,753,1733.0,1488.0,1503.0,1216.0,1008.0,1672.0
7,77084,8,"Houston, TX",2014,1116.8333333333333,9403,64652.0,26383.0,2192.0,1422.0,1068.0,100300.0,124700.0,159000.0,880.0,17,3380,14919.0,4456.0,837,1045.0,1798.0,1548.0,1670.0,1649.0,3106.0
8,79936,9,"El Paso, TX",2014,900.75,1088,52088.0,21493.0,1341.0,851.0,963.0,100600.0,121200.0,156200.0,804.0,32,3499,14701.0,4372.0,941,1391.0,1679.0,2040.0,2087.0,1729.0,3099.0
9,60640,10,"Chicago, IL",2014,1261.3333333333333,7521,46423.0,37329.0,1725.0,1763.0,877.0,176300.0,270600.0,388900.0,824.0,180,8049,25959.0,11494.0,1869,1275.0,1632.0,1522.0,1371.0,1276.0,1044.0
10,11226,11,"New York, NY",2014,1722.3333333333333,3004,42182.0,21483.0,1086.0,549.0,1164.0,345300.0,485900.0,754200.0,1044.0,663,3882,13709.0,4745.0,706,1223.0,2036.0,2224.0,1917.0,2168.0,4182.0
11,78660,13,"Austin, TX",2014,1219.9166666666667,7005,75138.0,29093.0,1802.0,1194.0,1116.0,135500.0,168100.0,205700.0,930.0,0,4562,16614.0,5380.0,1108,1239.0,779.0,822.0,787.0,762.0,1678.0
12,94109,14,"San Francisco, CA",2014,2511.2,14888,63173.0,61275.0,2355.0,4246.0,1427.0,534400.0,748500.0,1000001.0,1395.0,1543,7114,25778.0,10362.0,1438,2373.0,1296.0,1059.0,1495.0,915.0,354.0
13,10016,16,"New York, NY",2014,3192.0,8194,103960.0,87576.0,2991.0,6148.0,2001.0,483100.0,731600.0,998200.0,2001.0,2034,7871,27115.0,13695.0,1991,2625.0,553.0,589.0,499.0,1067.0,240.0
14,37013,17,"Nashville, TN",2014,1213.75,2922,47451.0,23822.0,992.0,518.0,854.0,116400.0,146000.0,176900.0,710.0,67,3617,16839.0,4664.0,762,1810.0,2012.0,1974.0,2765.0,2385.0,3478.0
15,60647,19,"Chicago, IL",2014,1497.1666666666667,2095,54400.0,31155.0,2211.0,2011.0,1015.0,237600.0,324700.0,450300.0,874.0,232,6388,24453.0,8629.0,791,1483.0,1579.0,1648.0,1233.0,1599.0,2890.0
16,11201,20,"New York, NY",2014,2878.5,5474,98775.0,68287.0,2620.0,5649.0,1902.0,417500.0,714700.0,1000001.0,1821.0,2939,9032,26874.0,15269.0,1868,2886.0,571.0,700.0,686.0,671.0,875.0
17,11375,22,"New York, NY",2014,1800.5833333333333,17982,71643.0,44032.0,2780.0,2694.0,1553.0,237700.0,358700.0,616000.0,1465.0,1064,9680,25608.0,14346.0,2183,1459.0,884.0,1099.0,1021.0,1009.0,599.0
18,90250,23,"Los Angeles-Long Beach-Anaheim, CA",2014,1175.8333333333333,6394,45766.0,21241.0,1149.0,755.0,1060.0,315600.0,400200.0,509200.0,998.0,42,2402,10485.0,3252.0,484,1100.0,2240.0,1958.0,1897.0,1910.0,4241.0
19,78130,24,"San Antonio, TX",2014,1202.25,289,55360.0,24671.0,629.0,434.0,980.0,106800.0,157100.0,202300.0,803.0,91,1852,7867.0,2295.0,313,489.0,1268.0,1456.0,988.0,1240.0,1473.0
20,37211,25,"Nashville, TN",2014,1056.4166666666667,4379,41817.0,22928.0,1114.0,563.0,844.0,117700.0,162200.0,229700.0,695.0,16,3990,14575.0,5477.0,787,796.0,2097.0,1954.0,1781.0,1857.0,2795.0
21,10029,26,"New York, NY",2014,2229.5833333333335,6675,31446.0,25577.0,804.0,1327.0,885.0,436700.0,794500.0,1000001.0,823.0,694,3672,14349.0,6249.0,859,907.0,1573.0,1650.0,1344.0,1306.0,2804.0
22,10009,27,"New York, NY",2014,2780.4166666666665,9202,61154.0,44714.0,2111.0,2639.0,1470.0,356900.0,685900.0,1000001.0,1445.0,667,7312,25021.0,10764.0,1641,2541.0,1162.0,997.0,765.0,1130.0,1049.0
23,77573,28,"Houston, TX",2014,1203.2727272727273,4280,93178.0,38075.0,3714.0,2374.0,1184.0,139300.0,187000.0,245600.0,1016.0,32,4695,18472.0,6990.0,2003,347.0,377.0,913.0,771.0,880.0,1063.0
24,60618,29,"Chicago, IL",2014,1366.0,4721,56763.0,32029.0,2029.0,2697.0,1019.0,225500.0,321600.0,472100.0,884.0,626,7100,25233.0,9643.0,1241,1218.0,1908.0,1826.0,1707.0,1721.0,2353.0
25,77584,30,"Houston, TX",2014,1179.6,13767,94669.0,40999.0,3938.0,3079.0,1244.0,153400.0,189600.0,254800.0,1059.0,9,6758,23606.0,10885.0,1468,642.0,415.0,653.0,552.0,481.0,1077.0
26,10011,31,"New York, NY",2014,3360.0,5398,104974.0,111064.0,3234.0,7848.0,1933.0,549900.0,903600.0,1000001.0,1868.0,4381,10406,29411.0,16536.0,2454,3475.0,790.0,835.0,951.0,698.0,749.0
27,20002,32,"Washington, DC",2014,1692.9166666666667,1570,68924.0,41103.0,2106.0,2507.0,1208.0,308200.0,458800.0,664800.0,1084.0,597,7292,19960.0,10849.0,1074,1313.0,652.0,816.0,787.0,906.0,1524.0
28,10128,33,"New York, NY",2014,2349.6666666666665,6356,100649.0,91988.0,2584.0,8005.0,1901.0,576200.0,1000001.0,1000001.0,1838.0,5024,11008,32911.0,19085.0,3339,2534.0,754.0,906.0,614.0,1143.0,609.0
29,28269,34,"Charlotte, NC",2014,1163.1666666666667,4433,60196.0,27607.0,1571.0,844.0,1035.0,117200.0,161500.0,211600.0,865.0,23,4891,17238.0,5780.0,851,951.0,1296.0,1285.0,1676.0,1424.0,2130.0
30,78613,35,"Austin, TX",2014,1235.5,5282,83146.0,35314.0,2387.0,2022.0,1128.0,160100.0,210100.0,281200.0,1003.0,0,5041,19397.0,6515.0,1397,963.0,627.0,751.0,732.0,956.0,1242.0
31,77433,36,"Houston, TX",2014,1299.1818181818182,4345,93884.0,33692.0,2152.0,2076.0,1421.0,139000.0,184100.0,282500.0,1144.0,33,3642,14888.0,4837.0,1124,473.0,364.0,798.0,410.0,253.0,934.0
32,30349,38,"Atlanta, GA",2014,972.25,387,43379.0,21164.0,601.0,537.0,876.0,76900.0,117900.0,171100.0,689.0,64,3520,11796.0,4655.0,343,1077.0,1711.0,1467.0,1472.0,1375.0,4043.0
33,79912,39,"El Paso, TX",2014,1135.3333333333333,2070,61581.0,30598.0,1771.0,1962.0,848.0,136000.0,173800.0,260900.0,757.0,26,5478,19583.0,8432.0,2309,736.0,1237.0,1092.0,1337.0,1464.0,1986.0
34,75052,40,"Dallas-Fort Worth, TX",2014,1074.5833333333333,8610,69032.0,26012.0,2025.0,869.0,1107.0,103500.0,135300.0,173500.0,905.0,26,3101,14325.0,4019.0,751,1169.0,742.0,1273.0,1211.0,1163.0,2453.0
35,94565,41,"San Francisco, CA",2014,1487.090909090909,12356,55865.0,21865.0,1421.0,793.0,1292.0,147700.0,217400.0,297200.0,1158.0,26,1842,8176.0,2461.0,542,709.0,1179.0,1286.0,970.0,1122.0,3064.0
36,11206,43,"New York, NY",2014,2538.0,4308,30686.0,17241.0,865.0,433.0,893.0,303100.0,527800.0,698300.0,809.0,210,2130,10269.0,2751.0,290,1649.0,1604.0,1703.0,1221.0,1274.0,3077.0
37,73099,44,"Oklahoma City, OK",2014,1184.0,2256,65399.0,28882.0,971.0,727.0,916.0,111000.0,145100.0,188000.0,731.0,12,2385,10260.0,3174.0,471,540.0,908.0,841.0,1119.0,1189.0,1198.0
38,90046,45,"Los Angeles-Long Beach-Anaheim, CA",2014,1837.090909090909,2886,56337.0,56531.0,1498.0,3232.0,1403.0,570800.0,860100.0,1000001.0,1328.0,2412,4375,22433.0,7064.0,1500,5419.0,1082.0,945.0,880.0,1174.0,358.0
39,20009,46,"Washington, DC",2014,2085.1666666666665,2465,92792.0,65527.0,2961.0,4268.0,1639.0,376700.0,544500.0,815400.0,1575.0,1193,11403,30427.0,18473.0,2402,1754.0,415.0,626.0,688.0,817.0,795.0
40,77429,47,"Houston, TX",2014,1216.5454545454545,5281,98191.0,40237.0,3392.0,3350.0,1153.0,142300.0,186100.0,275500.0,933.0,137,4761,19472.0,6321.0,1742,580.0,566.0,725.0,981.0,909.0,1006.0
41,78245,48,"San Antonio, TX",2014,1070.0833333333333,995,59742.0,20147.0,395.0,127.0,1079.0,91100.0,116200.0,152400.0,858.0,16,1719,6100.0,2048.0,366,455.0,1107.0,951.0,803.0,980.0,2976.0
42,77479,49,"Houston, TX",2014,1564.5833333333333,31313,128362.0,48569.0,3840.0,6282.0,1597.0,203400.0,287800.0,393500.0,1381.0,342,9151,28493.0,13412.0,3821,613.0,346.0,404.0,446.0,627.0,399.0
43,60613,52,"Chicago, IL",2014,1400.75,3280,69032.0,55263.0,1818.0,2614.0,1175.0,201700.0,309800.0,472700.0,1099.0,837,7145,26149.0,10634.0,1274,1080.0,773.0,813.0,993.0,1016.0,139.0
44,30044,53,"Atlanta, GA",2014,952.2,10720,51604.0,22444.0,834.0,743.0,1108.0,102800.0,140400.0,185300.0,885.0,117,3764,14974.0,4633.0,1029,1279.0,1629.0,1888.0,1209.0,1667.0,3106.0
45,10019,54,"New York, NY",2014,3186.6666666666665,5588,90174.0,86447.0,2202.0,4827.0,2001.0,534700.0,818900.0,1000001.0,2001.0,1543,7323,21095.0,11286.0,1371,1893.0,812.0,641.0,683.0,477.0,159.0
