,RegionName,MsaName,year,rent_price,median_income,income_per_capita,income_200000_or_more,owner_occupied_housing_units_median_value,median_rent,million_dollar_housing_units
0,10025,"New York, NY",2014,2951.25,71865.0,56151.0,7342.0,976900.0,1343.0,4780
1,60657,"Chicago, IL",2014,1512.5,78796.0,63402.0,5593.0,389600.0,1186.0,1006
2,10023,"New York, NY",2014,3180.5833333333335,111265.0,99916.0,8908.0,893800.0,1999.0,5575
3,77494,"Houston, TX",2014,1537.75,131694.0,47019.0,5793.0,277300.0,1159.0,34
4,60614,"Chicago, IL",2014,1704.25,88256.0,68257.0,6248.0,480200.0,1254.0,2514
5,77449,"Houston, TX",2014,1265.4166666666667,66550.0,22716.0,747.0,120100.0,1034.0,14
6,10002,"New York, NY",2014,2773.1666666666665,32966.0,26905.0,1773.0,544900.0,813.0,496
7,77084,"Houston, TX",2014,1116.8333333333333,64652.0,26383.0,1422.0,124700.0,880.0,17
8,79936,"El Paso, TX",2014,900.75,52088.0,21493.0,851.0,121200.0,804.0,32
9,60640,"Chicago, IL",2014,1261.3333333333333,46423.0,37329.0,1763.0,270600.0,824.0,180
10,11226,"New York, NY",2014,1722.3333333333333,42182.0,21483.0,549.0,485900.0,1044.0,663
11,78660,"Austin, TX",2014,1219.9166666666667,75138.0,29093.0,1194.0,168100.0,930.0,0
12,94109,"San Francisco, CA",2014,2511.2,63173.0,61275.0,4246.0,748500.0,1395.0,1543
13,10016,"New York, NY",2014,3192.0,103960.0,87576.0,6148.0,731600.0,2001.0,2034
14,37013,"Nashville, TN",2014,1213.75,47451.0,23822.0,518.0,146000.0,710.0,67
15,60647,"Chicago, IL",2014,1497.1666666666667,54400.0,31155.0,2011.0,324700.0,874.0,232
16,11201,"New York, NY",2014,2878.5,98775.0,68287.0,5649.0,714700.0,1821.0,2939
17,11375,"New York, NY",2014,1800.5833333333333,71643.0,44032.0,2694.0,358700.0,1465.0,1064
18,90250,"Los Angeles-Long Beach-Anaheim, CA",2014,1175.8333333333333,45766.0,21241.0,755.0,400200.0,998.0,42
19,78130,"San Antonio, TX",2014,1202.25,55360.0,24671.0,434.0,157100.0,803.0,91
20,37211,"Nashville, TN",2014,1056.4166666666667,41817.0,22928.0,563.0,162200.0,695.0,16
21,10029,"New York, NY",2014,2229.5833333333335,31446.0,25577.0,1327.0,794500.0,823.0,694
22,10009,"New York, NY",2014,2780.4166666666665,61154.0,44714.0,2639.0,685900.0,1445.0,667
23,77573,"Houston, TX",2014,1203.2727272727273,93178.0,38075.0,2374.0,187000.0,1016.0,32
24,60618,"Chicago, IL",2014,1366.0,56763.0,32029.0,2697.0,321600.0,884.0,626
25,77584,"Houston, TX",2014,1179.6,94669.0,40999.0,3079.0,189600.0,1059.0,9
26,10011,"New York, NY",2014,3360.0,104974.0,111064.0,7848.0,903600.0,1868.0,4381
27,20002,"Washington, DC",2014,1692.9166666666667,68924.0,41103.0,2507.0,458800.0,1084.0,597
28,10128,"New York, NY",2014,2349.6666666666665,100649.0,91988.0,8005.0,1000001.0,1838.0,5024
29,28269,"Charlotte, NC",2014,1163.1666666666667,60196.0,27607.0,844.0,161500.0,865.0,23
30,78613,"Austin, TX",2014,1235.5,83146.0,35314.0,2022.0,210100.0,1003.0,0
31,77433,"Houston, TX",2014,1299.1818181818182,93884.0,33692.0,2076.0,184100.0,1144.0,33
32,30349,"Atlanta, GA",2014,972.25,43379.0,21164.0,537.0,117900.0,689.0,64
33,79912,"El Paso, TX",2014,1135.3333333333333,61581.0,30598.0,1962.0,173800.0,757.0,26
34,75052,"Dallas-Fort Worth, TX",2014,1074.5833333333333,69032.0,26012.0,869.0,135300.0,905.0,26
35,94565,"San Francisco, CA",2014,1487.090909090909,55865.0,21865.0,793.0,217400.0,1158.0,26
36,11206,"New York, NY",2014,2538.0,30686.0,17241.0,433.0,527800.0,809.0,210
37,73099,"Oklahoma City, OK",2014,1184.0,65399.0,28882.0,727.0,145100.0,731.0,12
38,90046,"Los Angeles-Long Beach-Anaheim, CA",2014,1837.090909090909,56337.0,56531.0,3232.0,860100.0,1328.0,2412
39,20009,"Washington, DC",2014,2085.1666666666665,92792.0,65527.0,4268.0,544500.0,1575.0,1193
40,77429,"Houston, TX",2014,1216.5454545454545,98191.0,40237.0,3350.0,186100.0,933.0,137
41,78245,"San Antonio, TX",2014,1070.0833333333333,59742.0,20147.0,127.0,116200.0,858.0,16
42,77479,"Houston, TX",2014,1564.5833333333333,128362.0,48569.0,6282.0,287800.0,1381.0,342
43,60613,"Chicago, IL",2014,1400.75,69032.0,55263.0,2614.0,309800.0,1099.0,837
